Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-01,2349.789306640625,2349.789306640625,2349.789306640625,2349.789306640625,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1
2018-01-02,2349.789306640625,2349.789306640625,2349.789306640625,2349.789306640625,0,0.0,-11.503618736210486,0.8303361477520088,1.4994048369718627,0,1,-2,1,1,0,-1
2018-01-03,2349.789306640625,2349.789306640625,2349.789306640625,2349.789306640625,0,0.0,-6.345965303826762,0.6398818768781567,0.8367449746625955,0,1,-2,1,1,0,-1
2018-01-04,2352.271602184569,2375.8480891415797,2341.103792573353,2370.057373046875,2632300,0.8625482441753984,0.7650344417148736,0.40286360805039667,0.17522212021183758,1,0,1,0,0,0,-1
2018-01-05,2373.36612700225,2386.602048240324,2353.098622606448,2384.533935546875,2415800,0.6108106354146825,0.0,0.7033767443369587,0.8286330434974509,1,1,0,1,1,0,-1
2018-01-08,2384.533935546875,2384.533935546875,2384.533935546875,2384.533935546875,0,0.0,3.253798069916325,0.16623439316436617,0.2918784113631334,0,0,2,0,0,0,0
2018-01-09,2372.952440886983,2380.8112689115346,2363.025500224392,2372.538818359375,2620200,-0.5030382251510757,5.882347048478298,0.13029315960912946,0.08648321927422487,-1,0,2,0,0,0,0
2018-01-10,2341.930534063281,2349.3757388695576,2317.5268071982623,2317.9404296875,2835700,-2.3012642933121774,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,-1,0,-2,0,0,0,0
2018-01-11,2306.3595220554644,2313.804728547035,2260.03379277458,2263.3427734375,4168400,-2.35543828265512,0.6110022554106864,0.7033646478779465,0.81371905730796,-1,1,1,1,1,0,0
2018-01-12,2245.9703623528685,2261.6880186639933,2235.2161764557827,2246.797607421875,3104300,-0.7310057588182595,2.83400536161873,0.6749602987881076,0.683330258349435,-1,1,2,1,1,0,0
2018-01-15,2236.870725373483,2249.6930242800245,2212.0533726511435,2214.94873046875,2447700,-1.417523182680902,0.0,0.0,0.0,-1,0,0,0,0,0,0
2018-01-16,2212.880670944316,2231.493685933568,2210.8125581677327,2218.67138671875,1545100,0.16806963514737205,14.763779749288775,-0.3524487622672101,-0.5146647581198649,0,0,2,0,-1,0,0
