Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,58.59999847412109,59.5,58.5255012512207,59.45050048828125,53890000,1.6708444028718628,-11.503618736210486,0.8303361477520088,1.4994048369718627,1,1,-2,1,1,0,0
2018-01-03,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000,1.277531038348645,-6.345965303826762,0.6398818768781567,0.8367449746625955,1,1,-2,1,1,0,0
2018-01-04,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000,0.44760128968575064,0.7650344417148736,0.40286360805039667,0.17522212021183758,0,0,1,0,0,0,0
2018-01-05,60.8754997253418,61.45700073242188,60.5,61.45700073242188,70894000,1.6162516530176196,0.0,0.7033767443369587,0.8286330434974509,1,1,0,1,1,0,0
2018-01-08,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000,1.4424678832250848,3.253798069916325,0.16623439316436617,0.2918784113631334,1,0,2,0,0,0,0
2018-01-09,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000,0.46757095740346255,5.882347048478298,0.13029315960912946,0.08648321927422487,0,0,2,0,0,0,0
2018-01-10,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,53720000,0.13012055442500614,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,0,0,-2,0,0,0,0
2018-01-11,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,62500000,1.7818282543489161,0.6110022554106864,0.7033646478779465,0.81371905730796,1,1,1,1,1,0,0
2018-01-12,63.66949844360352,65.28800201416016,63.66949844360352,65.26000213623047,108874000,2.2339231610462695,2.83400536161873,0.6749602987881076,0.683330258349435,1,1,2,1,1,0,0
2018-01-16,66.1500015258789,66.99700164794922,64.61499786376953,65.24299621582031,144414000,-0.02605871874575838,14.763779749288775,-0.3524487622672101,-0.5146647581198649,0,0,2,0,-1,0,0
2018-01-17,65.61199951171875,65.69999694824219,64.04399871826172,64.75,105076000,-0.755630863716783,2.1440823608199766,0.9415051560751175,1.0325726097745402,-1,1,1,1,1,0,0
2018-01-18,64.69750213623047,65.2300033569336,64.20099639892578,64.66600036621094,80538000,-0.12972916415299185,2.6028583004898964,-0.16163897301626484,-0.030554877784838563,0,0,2,0,0,0,0
2018-01-19,65.5999984741211,65.6500015258789,64.64949798583984,64.72899627685547,91570000,0.09741736041779525,-7.774139022143589,0.43852351128388367,0.552765937796762,0,0,-2,0,1,0,0
2018-01-22,64.8584976196289,66.37249755859375,64.83300018310547,66.3655014038086,82802000,2.5282411609683475,-2.129553815831031,0.8066726499347698,0.9766383896178787,2,1,-1,1,1,0,0
2018-01-23,66.90450286865234,68.24500274658203,66.86699676513672,68.12699890136719,103386000,2.654236704761037,0.6346387143536081,0.21743654797181655,0.7054541547735882,2,0,1,0,1,0,0
2018-01-24,68.74099731445312,69.40799713134766,66.9000015258789,67.87550354003906,136150000,-0.36915667119321594,3.333332187778648,-0.05599757022828333,-0.6062764347220195,0,0,2,0,-1,0,0
2018-01-25,68.4000015258789,68.91699981689453,67.88099670410156,68.89749908447266,95060000,1.5056912893923968,0.959020524118448,0.060262090189389106,-0.05259434600574098,1,0,1,0,0,0,0
2018-01-26,69.60050201416016,70.12650299072266,69.04550170898438,70.10250091552734,97146000,1.7489776074125496,-4.317789320329979,1.1841196508761032,1.2765864086942358,1,1,-2,1,1,0,0
2018-01-29,70.45899963378906,71.56950378417969,70.02200317382812,70.88400268554688,114038000,1.1147987016343786,24.90974952966125,-0.6731974332887192,-0.5230676373521703,1,-1,2,-1,-1,0,0
