Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,53.89293318383064,54.1082159475157,53.82116998136373,54.08130645751953,8155600,0.6007052293868886,-11.503618736210486,0.8303361477520088,1.4994048369718627,1,1,-2,1,1,0,0
2018-01-03,54.332479873691376,54.87966240715436,54.2965982664804,54.82583999633789,11572900,1.3766929602619493,-6.345965303826762,0.6398818768781567,0.8367449746625955,1,1,-2,1,1,0,0
2018-01-04,55.35508081617476,55.56139492145852,55.30126182810146,55.49860382080078,10920600,1.2270925981395342,0.7650344417148736,0.40286360805039667,0.17522212021183758,1,0,1,0,0,0,0
2018-01-05,55.52551414853232,55.67800583677648,55.44478224832712,55.65109634399414,8861500,0.27476821522527395,0.0,0.7033767443369587,0.8286330434974509,0,1,0,1,1,0,0
2018-01-08,55.89329001434839,56.00093140342597,55.80358600523535,55.97402191162109,8946800,0.580268114811,3.253798069916325,0.16623439316436617,0.2918784113631334,1,0,2,0,0,0,0
2018-01-09,55.94710804502371,56.03681205260884,55.830497967950045,56.0098991394043,12793100,0.06409621206040494,5.882347048478298,0.13029315960912946,0.08648321927422487,0,0,2,0,0,0,0
2018-01-10,56.350764948814735,56.440465530441806,56.2251827657937,56.36870574951172,10612500,0.6406128481224016,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,1,0,-2,0,0,0,0
2018-01-11,56.37768259738896,56.74546051025391,56.35077310337831,56.74546051025391,9085600,0.6683757516384947,0.6110022554106864,0.7033646478779465,0.81371905730796,1,1,1,1,1,0,0
2018-01-12,56.46738342631066,56.93383402002829,56.41356101946927,56.92486190795898,27322400,0.31615110017944037,2.83400536161873,0.6749602987881076,0.683330258349435,0,1,2,1,1,0,0
2018-01-16,57.26573030757152,57.3105806023436,56.84413000862597,56.92486190795898,11655200,0.0,14.763779749288775,-0.3524487622672101,-0.5146647581198649,0,0,2,0,-1,0,0
2018-01-17,57.20293869291319,57.552779201429466,57.149116286558815,57.38234329223633,10369000,0.8036583119288787,2.1440823608199766,0.9415051560751175,1.0325726097745402,1,1,1,1,1,0,0
2018-01-18,56.79031925541451,56.97869257387692,56.71855603589055,56.8979606628418,9960800,-0.844131838478035,2.6028583004898964,-0.16163897301626484,-0.030554877784838563,-1,0,2,0,0,0,0
2018-01-19,57.34645640933311,57.34645640933311,57.11322942512383,57.25675582885742,8880700,0.6305940702193702,-7.774139022143589,0.43852351128388367,0.552765937796762,1,0,-2,0,1,0,0
2018-01-22,57.18500687062106,57.49896240234375,57.149125260750274,57.49896240234375,6676700,0.42301833203803874,-2.129553815831031,0.8066726499347698,0.9766383896178787,0,1,-1,1,1,0,0
2018-01-23,57.76806454945445,57.92952835383242,57.66939184435032,57.84879302978516,11609700,0.608412070105735,0.6346387143536081,0.21743654797181655,0.7054541547735882,1,0,1,0,1,0,0
2018-01-24,57.947458206170346,58.01024929728617,57.57968377069638,57.866729736328125,10669700,0.031006189763926884,3.333332187778648,-0.05599757022828333,-0.6062764347220195,0,0,2,0,-1,0,0
2018-01-25,57.74115974193133,57.82188822881347,57.41823210696853,57.588661193847656,10896400,-0.48053267179171133,0.959020524118448,0.060262090189389106,-0.05259434600574098,0,0,1,0,0,0,0
2018-01-26,57.75908572365051,58.0551038045563,57.68732252033109,58.010250091552734,8646500,0.7320692805932394,-4.317789320329979,1.1841196508761032,1.2765864086942358,1,1,-2,1,1,0,0
