Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,35.45497503560493,35.75497773417546,35.379973710721934,35.73452377319336,2119600,1.4910672477016718,-11.503618736210486,0.8303361477520088,1.4994048369718627,1,1,-2,1,1,0,0
2018-01-03,35.22998332523925,35.57089666541441,35.22998332523925,35.5572624206543,2283600,-0.4960506922217278,-6.345965303826762,0.6398818768781567,0.8367449746625955,0,1,-2,1,1,0,0
2018-01-04,35.48907259812564,35.66634896361271,35.475435754552635,35.63225555419922,2857400,0.21090806333099454,0.7650344417148736,0.40286360805039667,0.17522212021183758,0,0,1,0,0,0,0
2018-01-05,35.4686161012335,35.577708241067754,35.37997792481762,35.57088851928711,1871100,-0.17222326781632935,0.0,0.7033767443369587,0.8286330434974509,0,1,0,1,1,0,0
2018-01-08,35.20271216643466,35.3527122671662,35.195892443105464,35.28453063964844,1255300,-0.805034373778446,3.253798069916325,0.16623439316436617,0.2918784113631334,-1,0,2,0,0,0,0
2018-01-09,35.441350532494305,35.62544404830438,35.441350532494305,35.5572624206543,1272700,0.7729500040434045,5.882347048478298,0.13029315960912946,0.08648321927422487,1,0,2,0,0,0,0
2018-01-10,36.73681659073196,36.94136404304771,36.61408759915012,36.76408767700195,2724500,3.394033100947169,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,2,0,-2,0,0,0,0
2018-01-11,36.934536122540464,37.0504479670668,36.87999136114561,37.02317428588867,1322700,0.7047274262943048,0.6110022554106864,0.7033646478779465,0.81371905730796,1,1,1,1,1,0,0
2018-01-12,37.0777295259141,37.41864281018814,37.057272960203534,37.384552001953125,2119700,0.9760851764733625,2.83400536161873,0.6749602987881076,0.683330258349435,1,1,2,1,1,0,0
2018-01-16,37.25499752780082,37.63682128348472,37.24818040759287,37.432273864746094,3301500,0.1276512897371962,14.763779749288775,-0.3524487622672101,-0.5146647581198649,0,0,2,0,-1,0,0
2018-01-17,37.47318566241918,37.9777384417063,37.384550085743705,37.92319107055664,2682700,1.3114811234401058,2.1440823608199766,0.9415051560751175,1.0325726097745402,1,1,1,1,1,0,0
2018-01-18,37.480006774392734,37.86864770488206,37.43909624451315,37.76637268066406,2950600,-0.4135158077831935,2.6028583004898964,-0.16163897301626484,-0.030554877784838563,0,0,2,0,0,0,0
2018-01-19,37.568645710934646,37.74592208862305,37.568645710934646,37.74592208862305,3266100,-0.05415026805443146,-7.774139022143589,0.43852351128388367,0.552765937796762,0,0,-2,0,1,0,0
2018-01-22,37.73909036641693,37.841365367253495,37.65727192632447,37.8209114074707,1814800,0.1986686632574175,-2.129553815831031,0.8066726499347698,0.9766383896178787,0,1,-1,1,1,0,0
2018-01-23,37.75273767552535,37.88228639263737,37.67773633424198,37.81410217285156,2032400,-0.018003888234685572,0.6346387143536081,0.21743654797181655,0.7054541547735882,0,0,1,0,1,0,0
2018-01-24,38.0868298798335,38.10728384315608,37.77319030439923,37.90955352783203,2080200,0.25242263995626235,3.333332187778648,-0.05599757022828333,-0.6062764347220195,0,0,2,0,-1,0,0
2018-01-25,37.90955564154,37.90955564154,37.54818839756328,37.582279205322266,1517000,-0.8633030253692886,0.959020524118448,0.060262090189389106,-0.05259434600574098,-1,0,1,0,0,0,0
2018-01-26,37.65046005386718,37.8072798363001,37.5072745125487,37.78682327270508,1798200,0.544256686150768,-4.317789320329979,1.1841196508761032,1.2765864086942358,1,1,-2,1,1,0,0
2018-01-29,37.25499694652037,37.46636408313059,37.23454298525412,37.32318115234375,1628200,-1.226994174702789,24.90974952966125,-0.6731974332887192,-0.5230676373521703,-1,-1,2,-1,-1,0,0
2018-01-30,37.15954161697414,37.20045214042153,36.92090339926808,36.95499420166016,1703900,-0.9864833042519616,6.864160395890595,-1.0898815620283941,-0.8575597858458073,-1,-1,2,-1,-1,0,0
2018-01-31,36.91408678325474,37.009542078366415,36.71635647140241,36.757266998291016,1548200,-0.5350486656557685,-8.451656546477693,0.048898537308339485,0.12158087591922495,-1,0,-2,0,0,0,0
2018-02-01,36.825451279156844,36.97545395433057,36.750452542531896,36.90727233886719,1299800,0.4080970997738964,-0.5169844536294876,-0.06480882520516484,-0.345681527239039,0,0,-1,0,0,0,0
2018-02-02,36.6345287134425,36.6686195100431,36.27997870668191,36.33452606201172,1617600,-1.5518520891946497,28.50778858789582,-2.120854792396809,-1.9619877800439611,-1,-1,2,-1,-1,0,0
2018-02-05,36.15045053660427,36.34136117285266,35.14134737206484,35.16862106323242,3265900,-3.2088075038861352,115.59792516603906,-4.097922480422822,-3.776029426818206,-2,-2,2,-2,-2,0,0
2018-02-06,34.834518467707454,35.80953064016191,34.75270001015489,35.69361877441406,3959500,1.4928015239429104,-19.667739047719902,1.7440920592313836,2.1291634514759794,1,1,-2,1,1,0,0
2018-02-07,35.09360887446194,35.591341880216625,35.09360887446194,35.27770233154297,2349700,-1.165240334693185,-7.505003450150694,-0.5001588416939429,-0.8979901768450649,-1,-1,-2,-1,-1,0,0
2018-02-08,35.67998888239073,35.68680600428381,34.67088317871094,34.67088317871094,2723400,-1.7201209623265434,20.663539981343337,-3.753641975808808,-3.897059052633367,-1,-2,2,-2,-2,0,0
2018-02-09,34.88223892360344,35.25042580809465,34.19359539605774,35.039058685302734,3197400,1.0619155695978044,-13.15002910616373,1.4936090208494734,1.4361484143950776,1,1,-2,1,1,0,0
2018-02-12,34.75951400075763,35.223156220069434,34.6299679045529,35.03224563598633,2054900,-0.01944415624174356,-11.87198526838975,1.3914584754042503,1.5633119387545413,0,1,-2,1,1,0,0
2018-02-13,35.20271414648182,35.318623439974026,35.10043909849016,35.2368049621582,1414200,0.5839172524005898,-2.4990288236790614,0.26129297463290957,0.4518760471846628,1,0,-1,0,0,0,0
