Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-03,3.493104911381449,3.513374198235488,3.4525660154988675,3.4728353023529053,25547800,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-04,3.39851355308363,3.4390524417943884,3.357974342198423,3.432295799255371,21273900,-1.1673315768838233,-3.265128525989802,0.018792399994027598,-0.013586309056090595,-1,0,-2,0,0,0,0
2012-01-05,3.526886308945868,3.749850665536346,3.520129989023117,3.655259609222412,61179300,6.4960546237131656,-3.3303321061464386,0.2943716919978634,0.8118231331059267,2,0,-2,0,1,0,0
2012-01-06,3.614720766051681,3.614720766051681,3.5066170686095828,3.5403993129730225,40782300,-3.1423293699739174,-3.957171320224484,-0.2536961462655807,0.16329931553829002,-2,0,-2,0,0,0,0
2012-01-09,3.520130045043464,3.547155969513421,3.4728345161338225,3.5336430072784424,31513400,-0.1908345668756417,2.13281896246702,0.22615979258335805,0.08750543770750241,0,0,1,0,0,0,0
2012-01-10,3.607964986824973,3.675529807853169,3.587695379429274,3.641747236251831,31613800,3.059285523487243,-1.8035081455646473,0.8885769748331329,0.9691522266785491,2,1,-1,1,1,0,0
2012-01-11,3.6012077473566038,3.607964389427916,3.5336429375156064,3.594451427459717,19813700,-1.2987120116769058,1.7399646868560437,0.030959725997448118,0.305643284574475,-1,0,1,0,0,0,0
2012-01-12,3.6012080850002905,3.6214776909402495,3.54039958935487,3.5876951217651367,15669700,-0.18796486281510427,-2.755344155475825,0.2336608362904613,0.5142447636836467,0,0,-2,0,1,0,0
2012-01-13,3.526886477716761,3.547156082803824,3.46607830680446,3.520130157470703,22962700,-1.8832415241903822,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,-1,0,1,0,-1,0,0
2012-01-17,3.65525993210727,3.830928776058367,3.621477685160529,3.810659170150757,46357300,8.253359952144667,6.169301410525829,0.3552954600872571,0.642282415483364,2,0,2,0,1,0,0
2012-01-18,3.817415601605815,3.837684884217356,3.770120071888156,3.8309285640716553,30267700,0.5319130632219782,-5.900906884102108,1.1107929092462498,1.5259773034636215,1,1,-2,1,1,0,0
2012-01-19,3.790390070966487,3.9052504249616034,3.7768771070949714,3.891737461090088,33164500,1.587314824628372,-4.882712207835082,0.4938656879440728,0.6722767889095982,1,0,-2,0,1,0,0
2012-01-20,3.837684985015302,3.851197947836064,3.783633133732254,3.7903897762298575,25520700,-2.604175792265351,-8.002013515009166,0.06694597815233294,-0.05846248139392829,-2,0,-2,0,0,0,0
2012-01-23,3.8039027755793984,3.891737195845046,3.8039027755793984,3.8714675903320312,26897400,2.1390363231408527,2.1334757932112813,0.047134296924533636,-0.090789440600203,1,0,1,0,0,0,0
2012-01-24,3.560669183731079,3.6282339996874224,3.54715622053981,3.560669183731079,57750500,-8.027922211646278,1.285483503681939,-0.102581731454221,0.08871479731602516,-2,0,1,0,0,0,0
2012-01-25,3.513373651474411,3.58093878960521,3.486347725091873,3.560669183731079,43313700,0.0,-3.1729264215294983,0.8679141952454561,1.1365001304967537,0,1,-2,1,1,0,0
