Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,24.602868369950563,24.61459037259696,24.26289743084837,24.48172950744629,2940343,-0.6816690709295359,-11.503618736210486,0.8303361477520088,1.4994048369718627,-1,1,-2,1,1,0,0
2018-01-03,24.55988157110092,24.77871199395016,24.41138973318432,24.645851135253903,2736634,0.6703841236285868,-6.345965303826762,0.6398818768781567,0.8367449746625955,1,1,-2,1,1,0,0
2018-01-04,24.76308244944932,25.337513126153237,24.700558533094146,25.22809791564941,4317410,2.362453531023112,0.7650344417148736,0.40286360805039667,0.17522212021183758,1,0,1,0,0,0,0
2018-01-05,25.353144612969743,25.720468521118164,25.298437006622247,25.720468521118164,3146285,1.9516754973561756,0.0,0.7033767443369587,0.8286330434974509,1,1,0,1,1,0,0
2018-01-08,25.75172878085056,25.93929723506133,25.681390199742104,25.908035278320312,2602510,0.7292509350991905,3.253798069916325,0.16623439316436617,0.2918784113631334,1,0,2,0,0,0,0
2018-01-09,25.93929837635766,26.01745327164892,25.802530185054,25.962745666503903,2314343,0.2111715056578367,5.882347048478298,0.13029315960912946,0.08648321927422487,0,0,2,0,0,0,0
2018-01-10,25.919758098845254,26.00963498928009,25.78298827478969,25.90412712097168,3037408,-0.22577945447368464,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,0,0,-2,0,0,0,0
2018-01-11,25.98619291201936,26.0057312262646,25.798622794900087,25.919761657714844,2648424,0.06035538920170502,0.6110022554106864,0.7033646478779465,0.81371905730796,0,1,1,1,1,0,0
2018-01-12,25.9705613092435,26.119054794311523,25.888499076887012,26.119054794311523,2648352,0.7688849119388497,2.83400536161873,0.6749602987881076,0.683330258349435,1,1,2,1,1,0,0
2018-01-15,26.09951505599802,26.11123870160936,25.790807723999023,25.790807723999023,1686197,-1.2567341080963912,0.0,0.0,0.0,-1,0,0,0,0,0,0
2018-01-16,25.85332829810873,25.994007106830736,25.74391308999821,25.98619079589844,2410650,0.757568642247719,14.763779749288775,-0.3524487622672101,-0.5146647581198649,1,0,2,0,-1,0,0
2018-01-17,25.810345058096733,25.814252392112905,25.505543428715665,25.634498596191406,3988188,-1.3533811187230405,2.1440823608199766,0.9415051560751175,1.0325726097745402,-1,1,1,1,1,0,0
2018-01-18,25.57588586204324,25.708746731874196,25.536807589158467,25.661853790283203,2598124,0.10671242111153223,2.6028583004898964,-0.16163897301626484,-0.030554877784838563,0,0,2,0,0,0,0
2018-01-19,25.66185273319807,26.248008728027344,25.66185273319807,26.248008728027344,3912542,2.2841488480699113,-7.774139022143589,0.43852351128388367,0.552765937796762,1,0,-2,0,1,0,0
2018-01-22,26.169852801839884,26.19720742634738,25.88849846115827,26.0408992767334,2209702,-0.7890482414873445,-2.129553815831031,0.8066726499347698,0.9766383896178787,-1,1,-1,1,1,0,0
2018-01-23,26.06043789530732,26.13468381538626,25.990099309313,26.06825256347656,2369405,0.10503971638029519,0.6346387143536081,0.21743654797181655,0.7054541547735882,0,0,1,0,1,0,0
2018-01-24,26.07606717679614,26.290990254868813,25.95883566006665,26.017452239990234,2864197,-0.1948742953238769,3.333332187778648,-0.05599757022828333,-0.6062764347220195,0,0,2,0,-1,0,0
2018-01-25,25.962744737314253,26.40040720592844,25.943204781852454,26.10342025756836,2974674,0.33042442736181954,0.959020524118448,0.060262090189389106,-0.05259434600574098,0,0,1,0,0,0,0
2018-01-26,26.15422397859921,26.435578324798502,26.087792726164864,26.27927017211914,2128815,0.673666181732635,-4.317789320329979,1.1841196508761032,1.2765864086942358,1,1,-2,1,1,0,0
2018-01-29,26.158130994173128,26.513731256707395,26.134683703530182,26.490283966064453,2666629,0.8029667207774427,24.90974952966125,-0.6731974332887192,-0.5230676373521703,1,-1,2,-1,-1,0,0
2018-01-30,25.96274602875432,26.22846774709892,25.130405008657124,25.51726722717285,7430619,-3.673107997400449,6.864160395890595,-1.0898815620283941,-0.8575597858458073,-2,-1,2,-1,-1,0,0
2018-01-31,25.52508451405721,25.740007611866247,25.446929614688035,25.68139266967773,4685013,0.643193650180951,-8.451656546477693,0.048898537308339485,0.12158087591922495,1,0,-2,0,0,0,0
2018-02-01,25.83378930369851,26.017452066789307,25.556343956836724,25.61105155944824,4017918,-0.2738991266332036,-0.5169844536294876,-0.06480882520516484,-0.345681527239039,0,0,-1,0,0,0,0
2018-02-02,25.44692781282147,25.45474412376384,24.915481107213488,24.997543334960938,4460684,-2.3954823684737336,28.50778858789582,-2.120854792396809,-1.9619877800439611,-1,-1,2,-1,-1,0,0
2018-02-05,24.77480481504101,24.79434477152709,24.501266784766816,24.52861976623535,4488764,-1.8758786111183978,115.59792516603906,-4.097922480422822,-3.776029426818206,-1,-2,2,-2,-2,0,0
2018-02-06,23.56341877666292,24.212095360551025,23.551695131768398,23.79788017272949,8243169,-2.979130503346772,-19.667739047719902,1.7440920592313836,2.1291634514759794,-2,1,-2,1,1,0,0
2018-02-07,24.02452418472356,24.21991058968904,23.8682176897394,24.07141876220703,5814458,1.1494241818689188,-7.505003450150694,-0.5001588416939429,-0.8979901768450649,1,-1,-2,-1,-1,0,0
2018-02-08,23.86040254704754,23.895571838763985,23.58295554725832,23.637664794921875,6806635,-1.801945998987664,20.663539981343337,-3.753641975808808,-3.897059052633367,-1,-2,2,-2,-2,0,0
2018-02-09,23.14529692278256,23.37975834225936,22.85612625041389,23.157020568847656,8637157,-2.033382866895872,-13.15002910616373,1.4936090208494734,1.4361484143950776,-1,1,-2,1,1,0,0
2018-02-12,23.598588169263092,23.91120281765104,23.52824958583021,23.637664794921875,5961100,2.075587507664145,-11.87198526838975,1.3914584754042503,1.5633119387545413,1,1,-2,1,1,0,0
2018-02-13,23.668927110983223,23.668927110983223,23.454002380371094,23.454002380371094,3308932,-0.7769905197667293,-2.4990288236790614,0.26129297463290957,0.4518760471846628,-1,0,-1,0,0,0,0
2018-02-14,23.60639999879055,24.08313904661215,23.422737251288957,23.997169494628903,4327573,2.315882404413805,-22.867437891433283,1.3402458257245842,1.855138951972446,1,1,-2,1,1,0,0
2018-02-15,24.07923691211237,24.372313275710795,23.989360007251182,24.28243637084961,3494382,1.1887521829795578,-0.6749795772083567,1.2069112762299383,1.5791721388197733,1,1,-1,1,1,0,0
2018-02-16,24.391850601219197,24.70837422279192,24.364495977722328,24.634126663208008,3829195,1.4483319836084974,1.7250388822956486,0.03734693722488025,-0.2337232017212143,1,0,1,0,0,0,0
2018-02-19,24.630221987345852,24.6849295971258,24.243359741452203,24.28243637084961,2978770,-1.4276548024885427,0.0,0.0,0.0,-1,0,0,0,0,0,0
2018-02-20,24.19646909855586,24.489545470089496,24.192560121015976,24.4035758972168,4158046,0.49887714938117167,5.85817754691822,-0.5841389459353419,-0.07127809213746117,0,-1,2,-1,0,0,0
2018-02-21,24.149572492601944,24.55206566871688,24.149572492601944,24.512989044189453,2439639,0.4483488298332894,-2.815533558085659,-0.5496503128179286,-0.22227521345865586,0,-1,-2,-1,0,0,0
2018-02-22,24.391851217226545,24.7865280991274,24.317603655767535,24.712282180786133,3102698,0.8130103441788217,-6.493512061359841,0.09735510790762625,-0.11277192249036228,1,0,-2,0,0,0,0
2018-02-23,24.81388263470479,24.81388263470479,24.602868511558924,24.618497848510746,2526645,-0.3795049424787811,-11.912391154018309,1.602837635051313,1.7655853911321184,0,1,-2,1,1,0,0
2018-02-26,24.72791274845844,24.927204853089663,24.66929616706512,24.83732795715332,2647614,0.8888848945583172,-4.184351667437969,1.1757015343810906,1.1457728518214694,1,1,-2,1,1,0,0
2018-02-27,24.95455916506679,24.95455916506679,24.73181977341381,24.80215835571289,2613027,-0.14159977877290508,17.658227393497672,-1.2706888443829278,-1.2276541780296912,0,-1,2,-1,-1,0,0
