Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,149.7844840253554,151.66922866622002,149.41136280499492,151.63096618652344,32573300,1.7527237548117913,-11.503618736210486,0.8303361477520088,1.4994048369718627,1,1,-2,1,1,0,0
2018-01-03,151.77446531648783,153.23824965559578,151.74576480775454,153.10430908203125,29383600,0.9716635938963991,-6.345965303826762,0.6398818768781567,0.8367449746625955,1,1,-2,1,1,0,0
2018-01-04,153.630511563467,153.83141512742105,153.1521502799583,153.3721923828125,24776100,0.17496783884620726,0.7650344417148736,0.40286360805039667,0.17522212021183758,0,0,1,0,0,0,0
2018-01-05,154.09928555544278,155.01773089374274,153.81226591281452,154.91249084472656,26992300,1.0042879598861854,0.0,0.7033767443369587,0.8286330434974509,1,1,0,1,1,0,0
2018-01-08,154.91253408991457,155.59181361381414,154.85513306505,155.51527404785156,23159100,0.38911207213703225,3.253798069916325,0.16623439316436617,0.2918784113631334,0,0,2,0,0,0,0
2018-01-09,155.82139243699277,155.9840335138697,155.05602609837837,155.52481079101562,24782400,0.0061323514506606,5.882347048478298,0.13029315960912946,0.08648321927422487,0,0,2,0,0,0,0
2018-01-10,154.83591181489402,155.18990894317923,154.14707068762007,155.16119384765625,34004000,-0.23379995867539582,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,0,0,-2,0,0,0,0
2018-01-11,155.42916912607606,156.2328126535396,155.1899884620622,156.22323608398438,20473500,0.6844767109557504,0.6110022554106864,0.7033646478779465,0.81371905730796,1,1,1,1,1,0,0
2018-01-12,156.08924257739997,157.5339026412577,155.88833906286067,157.3712615966797,37762700,0.7348622019826445,2.83400536161873,0.6749602987881076,0.683330258349435,1,1,2,1,1,0,0
2018-01-16,158.41411564570956,159.21775905397783,156.45283157200498,156.921630859375,41231800,-0.28571337151571674,14.763779749288775,-0.3524487622672101,-0.5146647581198649,0,0,2,0,-1,0,0
2018-01-17,157.66787479665646,158.85420138283445,156.9024938581508,158.61502075195312,33849900,1.0791309542886651,2.1440823608199766,0.9415051560751175,1.0325726097745402,1,1,1,1,1,0,0
2018-01-18,158.366264850541,159.00726713565575,157.9931436816406,158.6437225341797,26432200,0.01809524853981781,2.6028583004898964,-0.16163897301626484,-0.030554877784838563,0,0,2,0,0,0,0
2018-01-19,159.11251958511622,159.39953926011555,158.37583915891753,159.14122009277344,38937600,0.31359422903516343,-7.774139022143589,0.43852351128388367,0.552765937796762,0,0,-2,0,1,0,0
2018-01-22,159.08382649384606,160.8441925048828,158.9020468712578,160.8441925048828,26081400,1.0701013924089509,-2.129553815831031,0.8066726499347698,0.9766383896178787,1,1,-1,1,1,-1,-1
2018-01-23,161.34166740132935,162.3175283517026,161.2651278563564,162.17401123046875,37989700,0.8267744734057336,0.6346387143536081,0.21743654797181655,0.7054541547735882,1,0,1,0,1,-1,-1
2018-01-24,162.51844977022338,162.87244702948698,160.19362105430727,161.12164306640625,54287400,-0.6489129522528447,3.333332187778648,-0.05599757022828333,-0.6062764347220195,-1,0,2,0,-1,-1,-1
2018-01-25,162.23144212553473,162.28884314006712,160.5476011743078,161.06423950195312,28925000,-0.035627469631416275,0.959020524118448,0.060262090189389106,-0.05259434600574098,0,0,1,0,0,-1,-1
2018-01-26,161.96356823808418,163.5517313136719,161.64786261557606,163.5325927734375,32038200,1.5325271948118724,-4.317789320329979,1.1841196508761032,1.2765864086942358,1,1,-2,1,1,-1,-1
2018-01-29,163.18812499131772,163.51340706027386,162.39404375350833,162.73846435546875,37277800,-0.4856086511567548,24.90974952966125,-0.6731974332887192,-0.5230676373521703,0,-1,2,-1,-1,0,0
2018-01-30,161.2555453470334,162.0878890701495,160.55714216095237,161.3990478515625,44987700,-0.823048508667612,6.864160395890595,-1.0898815620283941,-0.8575597858458073,-1,-1,2,-1,-1,0,0
2018-01-31,162.3079214035874,162.6332180584394,161.0546176109043,162.06874084472656,42449200,0.41492995285818957,-8.451656546477693,0.048898537308339485,0.12158087591922495,0,0,-2,0,0,0,0
2018-02-01,160.8250568980786,162.38450463459694,160.1744780117157,160.6911163330078,38037900,-0.8500248132603305,-0.5169844536294876,-0.06480882520516484,-0.345681527239039,-1,0,-1,0,0,0,0
2018-02-02,160.05970074171404,160.44238395870116,157.35217391616473,157.48611450195312,68478100,-1.9945109002869943,28.50778858789582,-2.120854792396809,-1.9619877800439611,-1,-1,2,-1,-1,0,0
2018-02-05,156.01275049842374,158.57675988019167,151.16216024778453,151.27696228027344,105372200,-3.9426664638441355,115.59792516603906,-4.097922480422822,-3.776029426818206,-2,-2,2,-2,-2,1,1
2018-02-06,149.06693291700927,155.4769708560202,148.38766810560986,155.28562927246094,118537900,2.64988596529363,-19.667739047719902,1.7440920592313836,2.1291634514759794,2,1,-2,1,1,1,1
2018-02-07,154.78809767627965,156.47193830189218,153.26691269162438,153.2764892578125,91028300,-1.2938351243844015,-7.505003450150694,-0.5001588416939429,-0.8979901768450649,-1,-1,-2,-1,-1,1,1
2018-02-08,153.66878141399843,153.84099907550495,146.80908203125,146.80908203125,94184800,-4.219438517856622,20.663539981343337,-3.753641975808808,-3.897059052633367,-2,-2,2,-2,-2,1,1
2018-02-09,148.88515354972546,150.43505395550423,143.63275626995497,149.34439086914062,113836600,1.7269427768446644,-13.15002910616373,1.4936090208494734,1.4361484143950776,1,1,-2,1,1,1,1
2018-02-12,150.87511291149892,153.0277382166363,149.68878653077053,151.99447631835938,63050600,1.7744793987882757,-11.87198526838975,1.3914584754042503,1.5633119387545413,1,1,-2,1,1,0,0
2018-02-13,151.12388124409847,153.08515054397668,150.89426260580254,152.7790069580078,31785600,0.5161573358792415,-2.4990288236790614,0.26129297463290957,0.4518760471846628,1,0,-1,0,0,0,0
2018-02-14,151.87966062324296,155.87875271146532,151.1621189195111,155.6395721435547,52107400,1.8723548755184227,-22.867437891433283,1.3402458257245842,1.855138951972446,1,1,-2,1,1,0,0
2018-02-15,157.03640041004837,158.5288848876953,155.4099753920594,158.5288848876953,51633900,1.8564126747121046,-0.6749795772083567,1.2069112762299383,1.5791721388197733,1,1,-1,1,1,0,0
2018-02-16,158.01227967622296,159.54302680161996,157.55304240002073,157.82093811035156,62256300,-0.4465727352118032,1.7250388822956486,0.03734693722488025,-0.2337232017212143,0,0,1,0,0,0,0
2018-02-20,157.2660209734479,159.46647064946268,157.19904340323347,158.13662719726562,36785600,0.20002991408740733,5.85817754691822,-0.5841389459353419,-0.07127809213746117,0,-1,2,-1,0,0,0
2018-02-21,158.91159999114936,160.46148564190412,157.59131837847644,157.68699645996094,41161800,-0.28433054711847205,-2.815533558085659,-0.5496503128179286,-0.22227521345865586,0,-1,-2,-1,0,0,0
2018-02-22,158.3758272051557,159.2177476286941,157.2660402631767,157.66786193847656,37074400,-0.012134495496740616,-6.493512061359841,0.09735510790762625,-0.11277192249036228,0,0,-2,0,0,0,0
2018-02-23,158.94030616437522,160.8920135498047,158.28972730361463,160.8920135498047,50096900,2.0449009529831974,-11.912391154018309,1.602837635051313,1.7655853911321184,1,1,-2,1,1,0,0
2018-02-26,161.64782938982742,163.02549743652344,161.51388883257533,163.02549743652344,39266700,1.3260346735969764,-4.184351667437969,1.1757015343810906,1.1457728518214694,1,1,-2,1,1,0,0
2018-02-27,163.07331384196286,163.34119491928263,160.93026522340477,161.0067901611328,42209900,-1.2382770223882567,17.658227393497672,-1.2706888443829278,-1.2276541780296912,-1,-1,2,-1,-1,0,0
2018-02-28,161.9252946517586,162.45149498390188,159.86834696970416,159.9735870361328,42936300,-0.6417140071955929,6.777838722644836,-1.1095788639207016,-0.7822318343237544,-1,-1,2,-1,-1,0,0
2018-03-01,160.05965847811746,160.79633880464837,155.9457492888493,157.3616943359375,76809900,-1.6327024658172928,13.198986808738677,-1.3324399541987275,-1.271134097305937,-1,-1,2,-1,-1,0,0
2018-03-02,155.46738439691197,159.08379377070156,154.95076074283836,158.8063507080078,57445100,0.9180483078596202,-12.817086109366038,0.5071602744632031,1.0766577810490618,1,1,-2,1,1,0,0
2018-03-05,158.06014863834864,160.97814091672632,157.46697069390424,160.56675720214844,38540200,1.1085239893065868,-4.389997976788962,1.1032026532745043,1.0035980607796535,1,1,-2,1,1,-1,-1
2018-03-06,161.35125752395248,161.79135633473268,160.23189385545498,161.2460174560547,29480900,0.4230391556398372,-1.975434815416921,0.2638858606169414,0.5633806944698394,0,0,-1,0,1,-1,-1
2018-03-07,160.01185367603782,161.7530958025084,159.7344105473818,161.619140625,34609400,0.23139992840257584,-3.267975825291858,-0.0483874720566102,0.3342390677999907,0,0,-2,0,0,-1,-1
2018-03-08,162.28883853296452,162.62368264104012,161.63825965707017,162.50888061523438,25828400,0.5505164714981525,-6.869365414593254,0.4463078207817217,0.42316850712147414,1,0,-2,0,0,-1,-1
2018-03-09,163.66654515236706,165.6660919189453,163.42736449803678,165.6660919189453,38310500,1.9427930902964796,-11.4873063303214,1.737883151892694,1.7886477397908829,1,1,-2,1,1,-1,-1
2018-03-12,166.15400489603488,166.92894783226637,165.78088368235203,166.5462646484375,37635000,0.5312932292281136,7.786880894223391,-0.1273985129042532,0.3638468022845176,1,0,2,0,0,0,-1
2018-03-13,166.9289036076569,167.6273214008324,163.85783318521786,164.27879333496094,55638900,-1.3614663278476824,3.612171471128467,-0.6363576551088879,-1.018803376565769,-1,-1,2,-1,-1,0,-1
2018-03-14,165.139881642169,165.2642602464483,163.53258015041402,164.2501220703125,40536400,-0.017452809377516143,5.382257738439855,-0.5724521948562322,-0.18905190479496792,0,-1,2,-1,0,0,-1
2018-03-15,164.3649476106892,165.06335102967424,163.50388850109715,164.10662841796875,28810400,-0.08736288931482372,-3.7144480943228753,-0.0781930531963182,-0.2010164870253739,0,0,-2,0,0,0,-1
