Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-02,40.733382955625736,41.69563022071359,40.70588935335878,41.4811897277832,3129172,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-03,41.789101345414295,42.3884425631717,41.71761799170464,42.21798706054688,3616296,1.7762203485455652,0.0,0.0,0.0,1,0,0,0,0,0,0
2012-01-04,42.20149887898064,42.426941619380216,41.67913483333596,42.00904846191406,3041125,-0.49490421779979643,-3.265128525989802,0.018792399994027598,-0.013586309056090595,0,0,-2,0,0,0,0
2012-01-05,41.86058309792976,41.95956005678906,41.47018838955563,41.72861862182617,3366506,-0.6675462795643461,-3.3303321061464386,0.2943716919978634,0.8118231331059267,-1,0,-2,0,1,0,0
2012-01-06,41.899073224110246,42.36095608396724,41.39870412791132,41.85508346557617,2942593,0.3030650137166413,-3.957171320224484,-0.2536961462655807,0.16329931553829002,0,0,-2,0,0,0,0
2012-01-09,41.87707976106345,42.01454776113139,41.40420424795638,41.651641845703125,2564513,-0.4860619141767275,2.13281896246702,0.22615979258335805,0.08750543770750241,0,0,1,0,0,0,0
2012-01-10,40.964321054865614,41.77810760339008,40.5849189794292,41.651641845703125,7084772,0.0,-1.8035081455646473,0.8885769748331329,0.9691522266785491,0,1,-1,1,1,0,0
2012-01-11,41.67912838912609,41.87157877643698,41.18975674247853,41.5141716003418,3850962,-0.3300476026145138,1.7399646868560437,0.030959725997448118,0.305643284574475,0,0,1,0,0,0,0
2012-01-12,41.629645636144346,42.05303265570502,41.2832358917877,41.60765075683594,3158368,0.22517408607851674,-2.755344155475825,0.2336608362904613,0.5142447636836467,0,0,-2,0,1,0,0
2012-01-13,41.80560453773272,42.15201432078176,41.173266094112826,41.5086784362793,3766546,-0.23787048476987538,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,0,0,1,0,-1,0,0
2012-01-16,41.37671441415395,41.95956438036782,41.21725632193642,41.83859252929688,2455214,0.7948075088057616,0.0,0.0,0.0,1,0,0,0,0,0,0
2012-01-17,42.17950718537774,42.586398083789504,42.07503149882034,42.55340576171875,4321217,1.7085021010717183,6.169301410525829,0.3552954600872571,0.642282415483364,1,0,2,0,1,0,0
2012-01-18,42.48742376896264,42.9877928879096,42.30047208906892,42.82833480834961,4168473,0.6460800063110117,-5.900906884102108,1.1107929092462498,1.5259773034636215,1,1,-2,1,1,0,0
2012-01-19,42.91631530341484,43.16375293734691,42.54791061410828,43.08127212524414,4449273,0.5905840561543751,-4.882712207835082,0.4938656879440728,0.6722767889095982,1,0,-2,0,1,0,0
2012-01-20,43.21873319598721,43.21873319598721,42.69087043188176,42.91631317138672,5224064,-0.3829017708155358,-8.002013515009166,0.06694597815233294,-0.05846248139392829,0,0,-2,0,0,0,0
2012-01-23,42.72936252702976,43.29571634880687,42.45993481900173,43.1087646484375,4502870,0.44843431979402215,2.1334757932112813,0.047134296924533636,-0.090789440600203,0,0,1,0,0,0,0
2012-01-24,41.679133238722976,42.55340576171875,41.239250018240455,42.55340576171875,9468660,-1.2882737217079554,1.285483503681939,-0.102581731454221,0.08871479731602516,-1,0,1,0,0,0,0
2012-01-25,42.86083693734694,43.05071606933958,42.0035038106925,42.30270767211914,5557621,-0.589137544015661,-3.1729264215294983,0.8679141952454561,1.1365001304967537,-1,1,-2,1,1,0,0
2012-01-26,42.31997229995322,42.71698775749165,41.76759455566852,42.33723449707031,5508085,0.08161847515479881,1.419990368462054,-0.5753890884025226,-0.46233483988544766,0,-1,1,-1,0,0,0
2012-01-27,42.27969415450299,42.33148074623947,41.75033518179599,41.888427734375,3974567,-1.0600757655211734,-0.21539584725926986,-0.15928775670267514,0.4017431205994404,-1,0,0,0,0,0,0
2012-01-30,41.646761797177845,42.11858008165467,41.43962046911486,41.57771301269531,3339578,-0.7417674486376202,4.695083106563347,-0.2522123175721869,-0.1636792296232481,-1,0,2,0,0,0,0
2012-01-31,41.65826635166703,41.997746128793445,41.34755438624639,41.50866317749024,4062116,-0.1660741541604005,0.206190290277819,-0.04569466961219515,0.06757422007472869,0,0,0,0,0,0,0
2012-02-01,41.33029589101085,42.49834101380868,41.23823335738942,42.07830429077149,5297159,1.3723427103529584,-4.578195846434497,0.8899605562620927,1.223592335214585,1,1,-2,1,1,0,0
2012-02-02,42.21064707496699,42.94139335308024,42.10132484670314,42.693973541259766,5040684,1.463151286310982,-3.0727747615505674,0.10951470667548424,0.400590956304514,1,0,-2,0,0,0,0
2012-02-03,42.52710836888194,43.82749203316211,42.36024548976569,43.6318588256836,6338694,2.1967626965371467,-4.894322487046898,1.4605356896842503,1.6078715649261888,1,1,-2,1,1,0,0
2012-02-06,43.58583351861737,43.78721577651559,43.27511898205687,43.60884475708008,2603139,-0.05274601913126675,3.8596481443784914,-0.04238741534883239,-0.12630252631099514,0,0,2,0,0,0,0
2012-02-07,43.56281817963127,43.7814626400573,43.20607613318642,43.64912414550781,2829606,0.09236518108219904,-0.6193727980514097,0.202338180532724,0.07202257408394086,0,0,-1,0,0,0,0
2012-02-08,43.82748937808999,44.23601796531568,43.64911837843456,43.72967529296875,2869643,0.18454241416714368,2.8895197728299182,0.21602108339675574,0.4056372062743119,0,0,2,0,0,0,0
2012-02-09,43.6146000369713,43.85626578871464,43.177306087846766,43.4534912109375,4492136,-0.6315713075410345,2.5881019675309647,0.14741105602813498,0.3899320484523461,-1,0,2,0,0,0,0
2012-02-10,43.02194760814401,43.15428609212493,42.273939178485605,42.79179000854492,4249316,-1.5227802967095583,11.594212839845675,-0.6886302644093845,-0.7976857920986014,-1,-1,2,-1,-1,0,0
2012-02-13,43.15428330619336,43.18305363245901,42.670956901083954,42.860836029052734,2319714,0.16135342899659122,-8.417508046827383,0.6800039312997219,0.9473535709397352,0,1,-2,1,1,0,0
2012-02-14,42.71698046743818,43.28661779893357,42.35448444061239,42.578887939453125,3339113,-0.6578221885557567,2.626050293895954,-0.09395233752043097,0.015016274293278009,-1,0,2,0,0,0,0
2012-02-15,42.78027889090537,42.99892834399186,42.29119842311059,42.55012130737305,3311385,-0.06756078768657137,8.188323434773558,-0.5383205872824925,-0.5457342197073167,0,-1,2,-1,-1,0,0
2012-02-16,42.24517381937461,42.64219434340102,41.88843175945806,42.63644027709961,3637411,0.20286421536384047,-9.082309043178615,1.102570580548079,1.5096908376621476,0,1,-2,1,1,0,0
2012-02-17,42.958648364081085,43.13701935428195,42.60766044869825,42.80904769897461,4511934,0.4048354429994738,-7.492188752100737,0.23489303072772305,-0.2726512523646085,0,0,-2,0,0,0,0
2012-02-20,43.154289478399015,43.44198273143426,42.78028523422208,43.21183013916016,3163931,0.9408815702181661,0.0,0.0,0.0,1,0,0,0,0,0,0
2012-02-21,43.309644699218666,43.608846087598856,42.97591891401339,43.13702774047852,2858288,-0.1731062962173735,2.3059608075271854,0.0719922777789872,-0.10874661748642156,0,0,1,0,0,0,0
2012-02-22,43.22908438723434,43.47649913223536,42.98166461684904,43.06222152709961,2530337,-0.17341531694988754,0.0,-0.33401068031253534,-0.5222920306229617,0,0,0,0,-1,0,0
2012-02-23,43.17729605038666,43.48225143319472,42.68246155507559,43.01043319702149,3399028,-0.1202639535109129,-7.641568203335314,0.42720022772981814,0.8117517644027128,0,0,-2,0,1,0,0
2012-02-24,43.183056569492045,43.263608463129984,42.820560484659225,43.165794372558594,2533056,0.3612174163078574,3.035715785967308,0.16722378083675604,0.22895046892326132,0,0,2,0,0,0,0
2012-02-27,42.85508427609937,43.03345528318612,42.46957193410787,42.86659240722656,2631797,-0.6931459728266698,5.083772936253683,0.13545591394890089,0.08131293494306746,-1,0,2,0,0,0,0
2012-02-28,42.71124335780112,43.35567868531835,42.71124335780112,43.03921508789063,3448338,0.4026974643194903,-1.2644389380545795,0.33563334079245166,0.694503946741043,0,0,-1,0,1,0,0
2012-02-29,43.26935984846189,43.70090469429656,42.94714224310017,43.073726654052734,3879819,0.08018632796074066,2.6169334335293115,-0.47369876733168725,-0.6652733102938235,0,0,2,0,-1,0,0
2012-03-01,42.99893065699917,43.52828960982978,42.94714406720718,43.4074592590332,3075747,0.7747938961976786,-6.348345398374022,0.6158039788692005,0.7442162980242362,1,1,-2,1,1,0,0
2012-03-02,43.30388704149635,43.42472242036217,42.86659312746985,43.19456481933594,2440119,-0.4904558878390475,0.17381625867713968,-0.3245756135652589,-0.42757302422374854,0,0,0,0,0,0,0
2012-03-05,43.085244757428775,43.1370313570081,42.45807159739977,42.734256744384766,3459576,-1.0656620268694406,4.3955944551204995,-0.3869693865664492,-0.8638548427239212,-1,0,2,0,-1,0,0
2012-03-06,42.47532553218064,42.504095859681975,41.49716203675112,41.74457931518555,5840483,-2.315887778554293,15.62327823473133,-1.5370160722531612,-1.361131489629519,-1,-1,2,-1,-1,0,0
2012-03-07,42.135846428705634,42.28544963046335,41.79636658899253,42.19913864135742,3545147,1.088906233165754,-8.624825452931306,0.6900622046460692,0.8717210633528927,1,1,-2,1,1,0,0
2012-03-08,42.56163133769075,43.12551467855418,42.33723283474908,42.97591400146485,4058591,1.840737477390464,-5.87309360151036,0.9817931917032618,1.1830261765353178,1,1,-2,1,1,0,0
2012-03-09,42.92988297822197,43.26360873694451,42.7745282302225,42.97016143798828,2901366,-0.013385552373301746,-4.67966638933075,0.36312500921620305,0.6032872956330593,0,0,-2,0,1,0,0
2012-03-12,42.832073725364246,43.13127512379932,42.76877899572453,43.03921508789063,2216862,0.16070139741504175,-8.591468232557853,0.016046065922270536,-0.15661456338972313,0,0,-2,0,0,0,0
2012-03-13,43.15428828474958,44.000110847616696,43.06797729599525,43.71241760253906,3582331,1.5641607619322873,-5.37084484749718,1.8131549330308916,1.8842620258077147,1,1,-2,1,1,0,0
2012-03-14,43.76995343988538,44.14970667241453,43.74693717875309,43.98859786987305,3441698,0.6318119254926424,3.4459474480352137,-0.11962619960680376,0.027964843645844617,1,0,2,0,0,0,0
2012-03-15,43.95983345316802,45.35803632722918,43.93682221432676,45.16240310668945,6721750,2.668430669894861,0.7184823883891189,0.5967198922915307,0.5143546720429049,2,1,1,1,1,0,0
2012-03-16,45.39830679874423,45.96794422498386,45.3292630359601,45.864376068115234,13705108,1.5543304012576087,-6.160828823377418,0.11193985360786751,-0.03632110573363878,1,0,-2,0,0,0,0
2012-03-19,45.77230770913694,45.85861868811026,45.15664282733192,45.72628021240234,3072595,-0.30109611762254573,3.939182337978342,0.39738463861609397,0.7547658307326621,0,0,2,0,1,0,0
2012-03-20,45.54791921386119,45.62847111986894,45.00705203637684,45.133636474609375,2799352,-1.2960681145286368,3.5904252873847575,-0.3000518154814724,-0.1354688896222367,-1,0,2,0,0,0,0
2012-03-21,45.30624353519494,45.49036859843463,44.67331143170279,45.21993255615234,3084330,0.19120125982206027,-2.888317146782715,-0.18711970276237277,0.03806470252907257,0,0,-2,0,0,0,0
2012-03-22,45.19116888871836,45.21993419072116,44.2762976047195,44.83442687988281,4051949,-0.8525127183478642,2.908126748547346,-0.72065416718331,-0.39020328724358455,-1,-1,2,-1,0,0,0
2012-03-23,44.937994001342354,44.937994001342354,44.11518778387464,44.512203216552734,3563933,-0.7186969606935212,-4.816955778421206,0.3108858515779689,0.15015908925535282,-1,0,-2,0,0,0,0
2012-03-26,44.460428990294105,44.58701342339592,44.05190033412888,44.36260986328125,3298145,-0.3360726777412282,-3.7786739370713973,1.3885824750712539,1.7813420127007262,0,1,-2,1,1,0,0
2012-03-27,44.4201418817412,44.50644783398312,44.02312143542885,44.230262756347656,4097038,-0.29833029964076996,9.326787534072455,-0.2816775177631903,-0.07109434390663028,0,0,2,0,0,0,0
2012-03-28,43.96558462022962,44.19573717024102,43.68939452467792,43.72391891479492,3520248,-1.1447904895841132,-0.7697234405681708,-0.494150905632218,-0.4932182683702657,-1,0,-1,0,0,0,0
2012-03-29,43.59733982472591,43.70090798231866,42.786036659607205,43.1197624206543,4903454,-1.3817528463492712,0.06463655484758579,-0.1607929836799582,-0.3091780131273092,-1,0,0,0,0,0,0
2012-03-30,43.32690770365839,43.61460096511561,43.22909360288624,43.493770599365234,3064760,0.8673706850754526,0.12920192735859093,0.3698436019823115,-0.12244258926166207,1,0,0,0,0,0,0
2012-04-02,43.50527672102499,44.0461438468584,43.269365041287344,43.98284912109375,3408216,1.1244794714019513,0.9032280214371191,0.7504645877610239,0.9098898679475109,1,1,1,1,1,0,0
2012-04-03,44.000104483726446,44.2993108427478,43.50526996259315,43.5858268737793,2874312,-0.9026751455354143,0.127874064260447,-0.3988635996082901,-0.19648949926089898,-1,0,0,0,0,0,0
2012-04-04,43.39019543284254,43.55705830163185,42.43504571725286,42.532859802246094,4556574,-2.415847414303973,4.980847345119277,-1.0202524371008104,-1.460702006706871,-1,-1,2,-1,-1,0,0
2012-04-05,42.77453034668492,42.98742576202736,41.968983725732585,42.50985336303711,4261392,-0.05409097652016026,1.581509856664609,-0.06290422223540482,0.40448330244131636,0,0,1,0,0,0,0
2012-04-10,41.99199868262623,42.41778698736622,41.69279479980469,41.69279479980469,4662688,-1.9220451227029312,8.39978718004124,-1.7081454337735447,-1.833233981046145,-1,-1,2,-1,-1,0,0
2012-04-11,41.715809039616936,42.29695457971327,41.50866770673416,41.963226318359375,3699698,0.6486289054336902,-1.8146098232479924,0.7448895819775148,0.8438025448339825,1,1,-1,1,1,0,0
2012-04-12,42.26818367649447,42.43504654855261,41.7158084714585,42.00925827026367,4526564,0.10969593127818644,-14.085912239480669,1.3779387810288313,1.2958928146513893,0,1,-2,1,1,0,0
2012-04-13,41.94020552800304,42.0150083715231,41.01382872094452,41.19219970703125,4578202,-1.944948796705559,13.6627812202462,-1.247500104029453,-1.4472016493424555,-1,-1,2,-1,-1,0,0
2012-04-16,41.031097569906585,41.600732497173375,40.88149437129635,41.27851486206055,2806640,0.20954247562205985,0.0,-0.050360039090724396,-0.7614633795152592,0,0,0,0,-1,0,0
2012-04-17,41.14041983203716,42.04378303955926,40.87574034218749,41.9689826965332,4787701,1.6727051270618132,-5.575448568415286,1.5486673802446171,1.821046974768814,1,1,-2,1,1,0,0
2012-04-18,41.72731163590227,41.80211196488496,40.82970266272595,40.93327331542969,5081391,-2.46779720297835,0.9750829583040854,-0.4055288780130728,-0.3736703759033122,-1,0,1,0,0,0,0
2012-04-19,40.78942848569011,41.03109420489793,40.06443635345121,40.19677734375,6863493,-1.7992598979424068,-1.5021394230966045,-0.5934396967956612,-0.7880681839688597,-1,-1,-1,-1,-1,0,0
2012-04-20,39.90908539350286,40.69736980651506,39.78825252245712,40.668601989746094,6397940,1.1737872465775068,-5.010893495151847,0.11692656800530443,-0.23640782838429963,1,0,-2,0,0,0,0
2012-04-23,40.33487316119856,40.38665975352968,39.43150995523617,39.64440536499024,4819328,-2.5183964401188086,8.772928511722377,-0.8407570124922548,-0.9998500387677911,-2,-1,2,-1,-1,0,0
2012-04-24,39.7767405052853,40.32336163550464,39.460276962891086,40.168006896972656,3908971,1.3207450765418738,-4.586183254483855,0.3679773444691614,-0.29792972987588984,1,0,-2,0,0,0,0
