Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-03,101.60882090086518,102.1019153512576,101.34636710947562,101.40203857421876,193697900,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-04,101.16345634495926,101.64859605876607,100.7737560407938,101.56111145019533,127186500,0.1568734496990798,-3.265128525989802,0.018792399994027598,-0.013586309056090595,0,0,-2,0,0,0,0
2012-01-05,101.01229700934203,101.98256984551269,100.5510158799896,101.83145904541016,173895000,0.26619204078659475,-3.3303321061464386,0.2943716919978634,0.8118231331059267,0,0,-2,0,1,0,0
2012-01-06,101.95873858838485,101.97464818616211,101.2350096505948,101.56903839111328,148050000,-0.2577009666333563,-3.957171320224484,-0.2536961462655807,0.16329931553829002,0,0,-2,0,0,0,0
2012-01-09,101.7996803068063,101.94283028221332,101.33045031790432,101.81558990478516,99530200,0.24274278616527312,2.13281896246702,0.22615979258335805,0.08750543770750241,0,0,1,0,0,0,0
2012-01-10,102.90517102794868,103.11194728050673,102.55523265018216,102.69839477539062,115282000,0.8670625701143075,-1.8035081455646473,0.8885769748331329,0.9691522266785491,1,1,-1,1,1,0,0
2012-01-11,102.3802241251469,102.88922189665963,102.2132158679512,102.75402069091795,111540700,0.05416434760152633,1.7399646868560437,0.030959725997448118,0.305643284574475,0,0,1,0,0,0,0
2012-01-12,103.04833152012696,103.15171357703326,102.22915098399044,103.00060272216795,118983700,0.23997312182237884,-2.755344155475825,0.2336608362904613,0.5142447636836467,0,0,-2,0,1,0,0
2012-01-13,102.30869095613416,102.63477101021265,101.57700711912064,102.4677505493164,179836200,-0.517329179411552,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,-1,0,1,0,-1,0,0
2012-01-17,103.4539130270052,103.64479177136472,102.51544103656992,102.8653793334961,132209200,0.3880526136741169,6.169301410525829,0.3552954600872571,0.642282415483364,0,0,2,0,1,0,0
2012-01-18,102.8415427688392,104.0583661998816,102.65862485145512,104.00270080566406,163395200,1.1056406728260804,-5.900906884102108,1.1107929092462498,1.5259773034636215,1,1,-2,1,1,0,0
2012-01-19,104.36058149309748,104.63894485347872,104.0265527419207,104.55146026611328,126328900,0.5276396249310977,-4.882712207835082,0.4938656879440728,0.6722767889095982,1,0,-2,0,1,0,0
2012-01-20,104.37651392791813,104.94117736816406,104.12200884154724,104.94117736816406,138230200,0.3727514671328702,-8.002013515009166,0.06694597815233294,-0.05846248139392829,0,0,-2,0,0,0,0
2012-01-23,104.59121762185828,105.17975141251912,104.16970427701608,104.6707534790039,129295800,-0.2576909235651459,2.1334757932112813,0.047134296924533636,-0.090789440600203,0,0,1,0,0,0,0
2012-01-24,104.0265527419207,104.58326732721537,103.86749316547476,104.55146026611328,103083300,-0.11396995715192704,1.285483503681939,-0.102581731454221,0.08871479731602516,0,0,1,0,0,0,0
2012-01-25,104.39234921200698,105.6727983433576,103.98674562460891,105.42625427246094,198613200,0.8367114185885649,-3.1729264215294983,0.8679141952454561,1.1365001304967537,1,1,-2,1,1,0,0
2012-01-26,105.89552541590308,106.09435292298174,104.47192580482584,104.88549041748048,184880500,-0.5129309190696651,1.419990368462054,-0.5753890884025226,-0.46233483988544766,-1,-1,1,-1,0,0,0
