Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-03,1.929332971572876,1.9666670560836792,1.8433330059051516,1.871999979019165,13921500,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-04,1.880666971206665,1.911332964897156,1.8333330154418943,1.8473329544067385,9451500,-1.3176829534662038,-3.265128525989802,0.018792399994027598,-0.013586309056090595,-1,0,-2,0,0,0,1
2012-01-05,1.8506669998168943,1.861999988555908,1.7899999618530271,1.807999968528748,15082500,-2.1291768646341303,-3.3303321061464386,0.2943716919978634,0.8118231331059267,-1,0,-2,0,1,0,1
2012-01-06,1.8133330345153809,1.852666974067688,1.7606669664382937,1.7940000295639038,14794500,-0.7743329208261263,-3.957171320224484,-0.2536961462655807,0.16329931553829002,-1,0,-2,0,0,0,1
2012-01-09,1.7999999523162842,1.8326669931411743,1.7413330078125,1.816666960716248,13455000,1.2634855506582277,2.13281896246702,0.22615979258335805,0.08750543770750241,1,0,1,0,0,0,1
2012-01-10,1.829332947731018,1.8506669998168943,1.816666960716248,1.841333031654358,10077000,1.3577651529691925,-1.8035081455646473,0.8885769748331329,0.9691522266785491,1,1,-1,1,1,0,1
2012-01-11,1.841333031654358,1.8919999599456787,1.8200000524520876,1.8819999694824217,10084500,2.208559621152628,1.7399646868560437,0.030959725997448118,0.305643284574475,1,0,1,0,0,0,1
2012-01-12,1.8986669778823853,1.9079999923706052,1.8539999723434448,1.8833329677581787,10939500,0.07082881495070747,-2.755344155475825,0.2336608362904613,0.5142447636836467,0,0,-2,0,1,0,1
2012-01-13,1.8933329582214355,1.899999976158142,1.5093330144882202,1.519333004951477,82506000,-19.327435405115235,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,-2,0,1,0,-1,0,1
2012-01-17,1.7746670246124268,1.8226670026779173,1.7606669664382937,1.773332953453064,69774000,16.717858933743024,6.169301410525829,0.3552954600872571,0.642282415483364,2,0,2,0,1,0,1
2012-01-18,1.779332995414734,1.7920000553131104,1.75,1.7873330116271973,18903000,0.7894771338271322,-5.900906884102108,1.1107929092462498,1.5259773034636215,1,1,-2,1,1,0,1
2012-01-19,1.8126670122146609,1.8493330478668213,1.77400004863739,1.784000039100647,18694500,-0.1864774222189225,-4.882712207835082,0.4938656879440728,0.6722767889095982,0,0,-2,0,1,0,1
2012-01-20,1.7933330535888672,1.7999999523162842,1.7599999904632568,1.773332953453064,9934500,-0.5979307967370118,-8.002013515009166,0.06694597815233294,-0.05846248139392829,-1,0,-2,0,0,0,1
2012-01-23,1.7873330116271973,1.8140000104904173,1.773332953453064,1.7846670150756836,8919000,0.6391389502208078,2.1334757932112813,0.047134296924533636,-0.090789440600203,1,0,1,0,0,0,1
2012-01-24,1.775333046913147,1.8453329801559448,1.762666940689087,1.8279999494552608,12870000,2.428068318264942,1.285483503681939,-0.102581731454221,0.08871479731602516,1,0,1,0,0,0,1
2012-01-25,1.8179999589920044,1.8673330545425413,1.803333044052124,1.864667057991028,9168000,2.0058593845527106,-3.1729264215294983,0.8679141952454561,1.1365001304967537,1,1,-2,1,1,0,1
2012-01-26,1.8713330030441284,1.972000002861023,1.8666670322418213,1.929332971572876,19066500,3.467960315205998,1.419990368462054,-0.5753890884025226,-0.46233483988544766,2,-1,1,-1,0,0,1
2012-01-27,1.899999976158142,1.9813330173492432,1.899999976158142,1.95533299446106,11226000,1.347617195749673,-0.21539584725926986,-0.15928775670267514,0.4017431205994404,1,0,0,0,0,0,1
2012-01-30,1.965999960899353,1.9739999771118164,1.9019999504089355,1.9713330268859863,10935000,0.8182766040490286,4.695083106563347,-0.2522123175721869,-0.1636792296232481,1,0,2,0,0,0,1
2012-01-31,1.9933329820632932,2.0,1.9246670007705688,1.937999963760376,14346000,-1.6908894981719547,0.206190290277819,-0.04569466961219515,0.06757422007472869,-1,0,0,0,0,0,1
2012-02-01,1.937999963760376,1.9800000190734863,1.9333330392837524,1.972000002861023,7848000,1.7543880152957048,-4.578195846434497,0.8899605562620927,1.223592335214585,1,1,-2,1,1,0,1
2012-02-02,1.9813330173492432,2.058666944503784,1.9739999771118164,2.016666889190674,12085500,2.2650550844242945,-3.0727747615505674,0.10951470667548424,0.400590956304514,1,0,-2,0,0,0,1
2012-02-03,2.0273330211639404,2.0886669158935547,2.016666889190674,2.076667070388794,11467500,2.975215268308351,-4.894322487046898,1.4605356896842503,1.6078715649261888,2,1,-2,1,1,0,1
2012-02-06,2.0733330249786377,2.126667022705078,2.069999933242798,2.119999885559082,9781500,2.0866520102413633,3.8596481443784914,-0.04238741534883239,-0.12630252631099514,1,0,2,0,0,0,1
2012-02-07,2.119999885559082,2.119999885559082,2.0546669960021973,2.1066670417785645,15324000,-0.6289077594455406,-0.6193727980514097,0.202338180532724,0.07202257408394086,-1,0,-1,0,0,0,1
2012-02-08,2.1066670417785645,2.134000062942505,2.0859999656677246,2.128667116165161,9355500,1.044307142528944,2.8895197728299182,0.21602108339675574,0.4056372062743119,1,0,2,0,0,0,1
2012-02-09,2.1333329677581787,2.19333291053772,2.0953330993652344,2.171999931335449,19156500,2.0356783285285562,2.5881019675309647,0.14741105602813498,0.3899320484523461,1,0,2,0,0,0,1
2012-02-10,2.1506669521331787,2.1513330936431885,1.9893330335617063,2.0733330249786377,28113000,-4.542675390240292,11.594212839845675,-0.6886302644093845,-0.7976857920986014,-2,-1,2,-1,-1,0,1
2012-02-13,2.103332996368408,2.1373329162597656,2.059999942779541,2.0993330478668213,17368500,1.254020583039317,-8.417508046827383,0.6800039312997219,0.9473535709397352,1,1,-2,1,1,0,1
2012-02-14,2.115999937057495,2.25266695022583,2.093333005905152,2.211333036422729,27162000,5.335027173021145,2.626050293895954,-0.09395233752043097,0.015016274293278009,2,0,2,0,0,0,1
