Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-02,60.18553422373722,62.4532470703125,59.92487794043425,62.4532470703125,767073,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-03,63.23521137443047,64.30389967276831,63.07881602477178,64.04324340820312,1192211,2.5458985921108956,0.0,0.0,0.0,2,0,0,0,0,0,0
2012-01-04,63.93897607497976,64.59061667097976,63.44372683564062,64.09536743164062,867658,0.08138879398293941,-3.265128525989802,0.018792399994027598,-0.013586309056090595,0,0,-2,0,0,0,0
2012-01-05,64.35602535583666,65.97209725808827,63.80864962723738,65.78963470458984,1206364,2.643353710010632,-3.3303321061464386,0.2943716919978634,0.8118231331059267,2,0,-2,0,1,0,0
2012-01-06,65.89388891211156,66.46733176323674,64.32995169415305,64.64273834228516,1094656,-1.7432782040126993,-3.957171320224484,-0.2536961462655807,0.16329931553829002,-1,0,-2,0,0,0,0
2012-01-09,64.69487099812675,65.50290684593608,63.313392279596975,63.46978759765625,1142008,-1.8145127739145228,2.13281896246702,0.22615979258335805,0.08750543770750241,-1,0,1,0,0,0,0
2012-01-10,64.51242621731939,66.28488963208332,64.4081653012211,65.52898406982422,1644756,3.244372716703414,-1.8035081455646473,0.8885769748331329,0.9691522266785491,2,1,-1,1,1,0,0
2012-01-11,65.4507744219875,66.20667582274531,64.95552524795822,65.84175872802734,933111,0.4773073513086201,1.7399646868560437,0.030959725997448118,0.305643284574475,0,0,1,0,0,0,0
2012-01-12,65.60716836811588,67.45782510395145,65.26831449394092,67.1450424194336,1503791,1.9794181027115831,-2.755344155475825,0.2336608362904613,0.5142447636836467,1,0,-2,0,1,0,0
2012-01-13,67.6663525217538,67.77061341300842,64.35601553089532,65.68536376953125,1516124,-2.173918724757362,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,-1,0,1,0,-1,0,0
2012-01-16,65.52897576238492,67.22324128663503,64.90340239050428,67.19717407226562,950332,2.3015938650181367,0.0,0.0,0.0,1,0,0,0,0,0,0
2012-01-17,68.1355323083302,69.8297976883804,67.92701052031639,68.81324005126953,2002502,2.4049612224257277,6.169301410525829,0.3552954600872571,0.642282415483364,1,0,2,0,1,0,0
2012-01-18,68.76110562696792,69.09996347573576,67.61421988369936,68.81324005126953,1073767,0.0,-5.900906884102108,1.1107929092462498,1.5259773034636215,0,1,-2,1,1,0,0
2012-01-19,69.28242703495293,70.66390991210938,68.05734745098101,70.66390991210938,1732159,2.689409566329082,-4.882712207835082,0.4938656879440728,0.6722767889095982,2,0,-2,0,1,0,0
2012-01-20,70.68997061311623,70.89849240895097,69.75160662266667,70.11652374267578,1314054,-0.7746332889227658,-8.002013515009166,0.06694597815233294,-0.05846248139392829,-1,0,-2,0,0,0,0
2012-01-23,69.85586752058404,70.87242519582247,68.60472083638238,70.11652374267578,990931,0.0,2.1334757932112813,0.047134296924533636,-0.090789440600203,0,0,1,0,0,0,0
2012-01-24,69.59522714142041,71.00276947021484,69.07391457856333,71.00276947021484,1030741,1.263961303603045,1.285483503681939,-0.102581731454221,0.08871479731602516,1,0,1,0,0,0,0
2012-01-25,71.41980223362837,71.73259287050469,70.55963991411298,71.44586944580078,966182,0.6240601301781723,-3.1729264215294983,0.8679141952454561,1.1365001304967537,1,1,-2,1,1,0,0
2012-01-26,71.88898520794245,73.79178046382387,71.4980008620952,72.8534164428711,1416848,1.9700886951037555,1.419990368462054,-0.5753890884025226,-0.46233483988544766,1,-1,1,-1,0,0,0
2012-01-27,72.48848725475808,73.24438860675566,71.05487822508849,71.13307189941406,1317072,-2.361377993585323,-0.21539584725926986,-0.15928775670267514,0.4017431205994404,-1,0,0,0,0,0,0
2012-01-30,70.37718013568944,72.30603459293346,69.15209270704435,71.31554412841797,1210363,0.25652235188426964,4.695083106563347,-0.2522123175721869,-0.1636792296232481,0,0,2,0,0,0,0
2012-01-31,71.70652470603895,72.07144180781751,70.48143734157209,70.55963897705078,1116371,-1.0599444491456556,0.206190290277819,-0.04569466961219515,0.06757422007472869,-1,0,0,0,0,0,0
