Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,364.30571553787496,373.2347795115832,363.9485517965588,373.0561828613281,26121751,2.906393295829224,-11.503618736210486,0.8303361477520088,1.4994048369718627,2,1,-2,1,1,0,0
2018-01-03,378.59220741358274,381.092353611654,374.1276754109096,376.9849853515625,24711172,1.0531396263427695,-6.345965303826762,0.6398818768781567,0.8367449746625955,1,1,-2,1,1,0,0
2018-01-04,381.2709500424157,386.09264615870336,378.7708332111528,385.5569152832031,30269938,2.2738120256027505,0.7650344417148736,0.40286360805039667,0.17522212021183758,1,0,1,0,0,0,0
2018-01-05,389.66425575522567,389.66425575522567,382.342413776559,386.8069458007813,21650276,0.3242142646203039,0.0,0.7033767443369587,0.8286330434974509,0,1,0,1,1,0,0
2018-01-08,389.48567953114696,392.16442253352994,387.3427265121147,391.628662109375,19520204,1.2465433625064914,3.253798069916325,0.16623439316436617,0.2918784113631334,1,0,2,0,0,0,1
2018-01-09,393.7716432188407,398.593339222271,391.9858244103117,396.2717895507813,26551332,1.1855943884182762,5.882347048478298,0.13029315960912946,0.08648321927422487,1,0,2,0,0,0,1
2018-01-10,398.0575971040533,398.4147608821826,392.878766659974,393.2359008789063,19533792,-0.7661127417918245,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,-1,0,-2,0,0,0,1
2018-01-11,389.3071279755513,391.092946862055,383.4139404296875,383.4139404296875,29978406,-2.497727299889485,0.6110022554106864,0.7033646478779465,0.81371905730796,-1,1,1,1,1,0,1
2018-01-12,385.5569410821327,394.8431701660156,384.6640463768202,394.8431701660156,20826398,2.9809113678859855,2.83400536161873,0.6749602987881076,0.683330258349435,2,1,2,1,1,0,1
2018-01-15,397.7003956633092,400.7363022695035,386.8069458007813,386.8069458007813,25377720,-2.035295269728332,0.0,0.0,0.0,-1,0,0,0,0,0,0
2018-01-16,389.30709473762926,397.1646676081916,388.4142001502087,396.6289367675781,22337706,2.5392488613313224,14.763779749288775,-0.3524487622672101,-0.5146647581198649,2,0,2,0,-1,0,0
2018-01-17,395.5574295307737,400.9148559570313,392.1643888529181,400.9148559570313,26988551,1.0805866118549723,2.1440823608199766,0.9415051560751175,1.0325726097745402,1,1,1,1,1,0,0
2018-01-18,404.1293796260978,405.37943806467433,397.16470076157833,399.8434143066406,23643575,-0.26724917634519674,2.6028583004898964,-0.16163897301626484,-0.030554877784838563,0,0,2,0,0,0,0
2018-01-19,403.7722385453131,404.48656613870793,400.02203345958935,403.9508056640625,15999418,1.0272499709778726,-7.774139022143589,0.43852351128388367,0.552765937796762,1,0,-2,0,1,0,0
2018-01-22,406.2723146938215,410.7368469238281,402.1649462245832,410.7368469238281,21006422,1.679917743599968,-2.129553815831031,0.8066726499347698,0.9766383896178787,1,1,-1,1,1,-1,-1
2018-01-23,416.2728754056292,423.7732849121094,413.9513257125178,423.7732849121094,25895533,3.1739149009679446,0.6346387143536081,0.21743654797181655,0.7054541547735882,2,0,1,0,1,-1,-1
2018-01-24,423.2375424145353,423.5947061697535,416.8086243798041,418.7730102539063,27042199,-1.1799409817067952,3.333332187778648,-0.05599757022828333,-0.6062764347220195,-1,0,2,0,-1,-1,-1
2018-01-25,416.2728624206613,418.0586811901165,408.9510498046875,408.9510498046875,30083239,-2.345413913676919,0.959020524118448,0.060262090189389106,-0.05259434600574098,-1,0,1,0,0,-1,-1
2018-01-26,414.4870453018474,420.7373962402344,414.3084782037883,420.7373962402344,23878481,2.88209223113034,-4.317789320329979,1.1841196508761032,1.2765864086942358,2,1,-2,1,1,-1,-1
2018-01-29,423.0588985945648,425.55904460237457,416.45141419842696,421.0945129394531,24412234,0.08487876343057366,24.90974952966125,-0.6731974332887192,-0.5230676373521703,0,-1,2,-1,-1,0,0
2018-01-30,413.59411342714674,419.3087034380651,411.8082948114872,412.3440551757813,24142240,-2.0780270211998686,6.864160395890595,-1.0898815620283941,-0.8575597858458073,-1,-1,2,-1,-1,0,0
2018-01-31,406.8080487520472,418.2372292375942,406.4508850144243,413.9512939453125,29949603,0.3897809970477173,-8.451656546477693,0.048898537308339485,0.12158087591922495,0,0,-2,0,0,0,0
2018-02-01,416.0943033353535,416.80863085689015,410.7368469238281,410.7368469238281,18570539,-0.776527835158558,-0.5169844536294876,-0.06480882520516484,-0.345681527239039,-1,0,-1,0,0,0,0
2018-02-02,409.8439935299708,410.7368882421151,402.7007471552208,403.9508056640625,26391074,-1.652162768105414,28.50778858789582,-2.120854792396809,-1.9619877800439611,-1,-1,2,-1,-1,0,0
2018-02-05,387.3427189135199,398.0575724760727,386.4497947438437,393.7716369628906,43815903,-2.5199030571156134,115.59792516603906,-4.097922480422822,-3.776029426818206,-2,-2,2,-2,-2,1,1
