Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-03,8.794500350952148,8.973999977111816,8.77750015258789,8.951499938964844,102216000,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-04,8.96049976348877,9.024999618530272,8.803500175476074,8.875499725341797,84104000,-0.8490221096045247,-3.265128525989802,0.018792399994027598,-0.013586309056090595,-1,0,-2,0,0,0,1
2012-01-05,8.79699993133545,8.912500381469727,8.702500343322754,8.880499839782715,76182000,0.05633614552025268,-3.3303321061464386,0.2943716919978634,0.8118231331059267,0,0,-2,0,1,0,1
2012-01-06,8.903499603271484,9.232500076293944,8.875,9.130499839782717,140168000,2.8151568550235817,-3.957171320224484,-0.2536961462655807,0.16329931553829002,2,0,-2,0,0,0,1
2012-01-09,9.137999534606934,9.218500137329102,8.850000381469727,8.928000450134277,101138000,-2.217834655295914,2.13281896246702,0.22615979258335805,0.08750543770750241,-1,0,1,0,0,0,1
2012-01-10,9.05500030517578,9.119999885559082,8.854999542236328,8.967000007629395,79716000,0.4368229785934874,-1.8035081455646473,0.8885769748331329,0.9691522266785491,0,1,-1,1,1,0,1
2012-01-11,8.982000350952148,9.03849983215332,8.909500122070312,8.944999694824219,62054000,-0.2453475274501793,1.7399646868560437,0.030959725997448118,0.305643284574475,0,0,1,0,0,0,1
2012-01-12,8.970999717712402,8.974499702453613,8.787500381469727,8.796500205993652,107716000,-1.6601396746440567,-2.755344155475825,0.2336608362904613,0.5142447636836467,-1,0,-2,0,1,0,1
2012-01-13,8.790499687194824,8.9399995803833,8.675000190734863,8.920999526977539,95070000,1.4153278925527424,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,1,0,1,0,-1,0,1
2012-01-17,9.00749969482422,9.164999961853027,8.92549991607666,9.083000183105469,112890000,1.8159473682072491,6.169301410525829,0.3552954600872571,0.642282415483364,1,0,2,0,1,0,0
2012-01-18,9.097000122070312,9.512499809265137,9.055999755859377,9.472000122070312,149470000,4.282725213287897,-5.900906884102108,1.1107929092462498,1.5259773034636215,2,1,-2,1,1,0,0
2012-01-19,9.543999671936035,9.79699993133545,9.517999649047852,9.72249984741211,141920000,2.644633890556203,-4.882712207835082,0.4938656879440728,0.6722767889095982,2,0,-2,0,1,0,0
2012-01-20,9.535499572753906,9.645000457763672,9.45199966430664,9.546500205993652,112206000,-1.8102303335628678,-8.002013515009166,0.06694597815233294,-0.05846248139392829,-1,0,-2,0,0,0,0
2012-01-23,9.53950023651123,9.58650016784668,9.261500358581545,9.304499626159668,91706000,-2.5349664757986057,2.1334757932112813,0.047134296924533636,-0.090789440600203,-2,0,1,0,0,0,0
2012-01-24,9.25,9.420499801635742,9.190999984741213,9.350000381469728,93476000,0.48901883108398714,1.285483503681939,-0.102581731454221,0.08871479731602516,0,0,1,0,0,0,0
2012-01-25,9.349499702453612,9.408499717712402,9.23050022125244,9.390000343322754,86128000,0.42780706118792367,-3.1729264215294983,0.8679141952454561,1.1365001304967537,0,1,-2,1,1,0,0
2012-01-26,9.46500015258789,9.74250030517578,9.43649959564209,9.666000366210938,117472000,2.9392972608829337,1.419990368462054,-0.5753890884025226,-0.46233483988544766,2,-1,1,-1,0,0,0
2012-01-27,9.654500007629396,9.824999809265137,9.616499900817873,9.768500328063965,93180000,1.0604175250327197,-0.21539584725926986,-0.15928775670267514,0.4017431205994404,1,0,0,0,0,0,0
2012-01-30,9.684000015258787,9.75,9.506500244140623,9.607500076293944,108482000,-1.648157305246567,4.695083106563347,-0.2522123175721869,-0.1636792296232481,-1,0,2,0,0,0,0
2012-01-31,9.699999809265137,9.781499862670898,9.484999656677246,9.722000122070312,255444000,1.1917777243519723,0.206190290277819,-0.04569466961219515,0.06757422007472869,1,0,0,0,0,0,0
2012-02-01,8.690500259399414,8.9975004196167,8.600000381469727,8.972999572753906,426732000,-7.704181648959962,-4.578195846434497,0.8899605562620927,1.223592335214585,-2,1,-2,1,1,0,0
2012-02-02,8.982500076293945,9.097000122070312,8.84000015258789,9.086000442504885,174726000,1.2593433091660833,-3.0727747615505674,0.10951470667548424,0.400590956304514,1,0,-2,0,0,0,0
2012-02-03,9.14150047302246,9.395000457763672,9.094499588012695,9.383999824523926,162410000,3.279764115187378,-4.894322487046898,1.4605356896842503,1.6078715649261888,2,1,-2,1,1,0,0
2012-02-06,9.314000129699709,9.32800006866455,9.145999908447266,9.156999588012695,106200000,-2.4190136482951874,3.8596481443784914,-0.04238741534883239,-0.12630252631099514,-1,0,2,0,0,0,0
2012-02-07,9.13249969482422,9.246999740600586,9.102999687194824,9.209500312805176,102078000,0.573339818221763,-0.6193727980514097,0.202338180532724,0.07202257408394086,1,0,-1,0,0,0,0
2012-02-08,9.2475004196167,9.32450008392334,9.145500183105469,9.27400016784668,109532000,0.7003621570197627,2.8895197728299182,0.21602108339675574,0.4056372062743119,1,0,2,0,0,0,0
2012-02-09,9.225000381469728,9.284500122070312,9.088000297546388,9.24899959564209,143784000,-0.2695770083255722,2.5881019675309647,0.14741105602813498,0.3899320484523461,0,0,2,0,0,0,0
2012-02-10,9.17099952697754,9.381500244140623,9.12600040435791,9.277000427246094,115942000,0.302744435378699,11.594212839845675,-0.6886302644093845,-0.7976857920986014,0,-1,2,-1,-1,0,0
2012-02-13,9.35849952697754,9.625,9.284000396728516,9.579500198364258,121428000,3.2607497810362984,-8.417508046827383,0.6800039312997219,0.9473535709397352,2,1,-2,1,1,0,0
2012-02-14,9.553999900817873,9.678500175476074,9.30500030517578,9.5649995803833,190542000,-0.1513713417265028,2.626050293895954,-0.09395233752043097,0.015016274293278009,0,0,2,0,0,0,0
2012-02-15,9.564499855041504,9.57699966430664,9.163000106811523,9.22350025177002,155888000,-3.5703015535270555,8.188323434773558,-0.5383205872824925,-0.5457342197073167,-2,-1,2,-1,-1,0,0
2012-02-16,8.88949966430664,9.083999633789062,8.756999969482422,8.996500015258789,251276000,-2.46110728373069,-9.082309043178615,1.102570580548079,1.5096908376621476,-1,1,-2,1,1,0,0
2012-02-17,9.004500389099121,9.170499801635742,8.968000411987305,9.125,148362000,1.4283330686740925,-7.492188752100737,0.23489303072772305,-0.2726512523646085,1,0,-2,0,0,0,0
