Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2014-09-19,89.5247093517103,96.28493573890064,86.86890612817123,90.6739501953125,271879400,0.0,0.6650035368396257,-0.047726958102545236,-0.2969488203100834,0,0,1,0,0,0,-1
2014-09-22,89.52471224269686,89.76614890717885,86.4343258845523,86.81096649169922,66657800,-4.260301547790057,13.047068278279173,-0.8013323296818919,-1.1376088687881203,-2,-1,2,-1,-1,0,-1
2014-09-23,85.893503384339,87.38075400519294,83.652971608209,84.18412780761719,39009800,-3.025929545817474,9.057711926955104,-0.5776501564770165,-0.41964004262400323,-2,-1,2,-1,0,0,-1
2014-09-24,85.43960030083137,87.46766662597656,84.23241708728523,87.46766662597656,32088000,3.9004250609605773,-11.118551999202818,0.783249148610099,1.0320131577508107,2,1,-2,1,1,0,-1
2014-09-25,87.9698597691506,88.36581943662944,85.46857945510061,85.87419128417969,28598000,-1.821787871180769,17.859832734010972,-1.6168772358634453,-1.9421720722844316,-1,-1,2,-1,-1,0,-1
2014-09-26,86.65645162550003,87.36144256591797,85.62310298708532,87.36144256591797,18340000,1.7318955317047413,-5.051150540353444,0.8575824615237426,1.0172931416857933,1,1,-2,1,1,0,-1
2014-09-29,86.55020886880385,86.62746299343893,85.00500848711874,85.71000671386719,25302000,-1.8903486521581914,7.609421762551927,-0.2546802239196233,-0.1405048065867609,-1,0,2,0,0,0,0
2014-09-30,85.95145068839294,87.76705171335325,85.42994662027344,85.80658721923828,24419400,0.1126828815840808,2.0650809334120446,-0.2785928622506484,-0.2765285277462115,0,0,1,0,0,0,0
2014-10-01,85.66172723821363,85.89351174552415,83.09284491071921,83.15078735351562,24029600,-3.095100215251556,2.4524808806127174,-1.3248560995234304,-1.5867817126784423,-2,-1,1,-1,-1,0,0
2014-10-02,83.31496298487953,85.17885437520626,82.67853922255743,84.0779037475586,21469700,1.1149820988481274,-3.2914378647190934,0.0005143341477165109,0.18340539991430482,1,0,-2,0,0,0,0
2014-10-03,85.082275390625,86.85925299534522,84.64769236067717,85.082275390625,18485700,1.1945726502435194,-9.962869256679319,1.11655096821337,1.0252340723351017,1,1,-2,1,1,0,0
2014-10-06,86.09631093209208,86.57918423247615,85.04364330586264,85.28507995605469,9268400,0.23836288404204264,6.254294401944938,-0.15651598591330806,-0.4651939162585439,0,0,2,0,0,0,1
2014-10-07,84.93740767694462,86.62746417031921,84.0778938211876,84.66699981689453,12791700,-0.7247224713615052,11.254855889386107,-1.5126053030587783,-1.5623510017613973,-1,-1,2,-1,-1,0,1
2014-10-08,84.98570184119835,85.46857514711425,84.07789766829664,85.27542877197266,10252600,0.7186140484414683,-12.151168683465974,1.7461650296527242,1.9016155414441016,1,1,-2,1,1,0,1
2014-10-09,85.47823409718244,87.25520431424441,84.98570126542774,85.74864196777344,21507000,0.5549232675993387,24.156192290789512,-2.066141501469354,-2.0196528022420335,1,-1,2,-1,-1,0,1
2014-10-10,85.22713846703,85.70035224361963,82.32023910328417,82.93831634521484,15431400,-3.2773995693305413,13.219613603299752,-1.1451012338901223,-2.331925182115435,-2,-1,2,-1,-1,0,1
2014-10-13,83.87509861064963,83.91372936244375,82.01120720294354,82.20436096191406,14845000,-0.8849412619443942,16.007531333185533,-1.6467929557809624,-1.4634369140897108,-1,-1,2,-1,-1,1,1
2014-10-14,82.87071140780395,82.93831337346595,80.36943131024837,82.04016876220703,15559200,-0.19973660495105072,-7.508110876408136,0.15788647774723774,0.3206183015248998,0,0,-2,0,0,1,1
2014-10-15,81.16134537246009,83.52742160177411,79.97347380923016,82.66790771484375,16824300,0.7651604843186277,10.881963328692311,-0.8100314924121665,-0.28033170833581256,1,-1,2,-1,0,1,1
2014-10-16,82.06915244980836,86.12045929708373,81.13720311376102,85.80658721923828,15232000,3.796732723926133,-0.2770070975709582,0.01449777086941495,0.04911400762772633,2,0,0,0,0,1,1
2014-10-17,87.30349546018132,87.78636876762916,84.66700395956887,84.89878845214844,17360700,-1.0579592971928786,-12.73809878824329,1.2884107385910504,0.9733461538238952,-1,1,-2,1,1,1,1
2014-10-20,84.98569734920471,86.43431719038433,84.85049342013954,85.2367935180664,9891400,0.3981270782309032,-15.55252438331446,0.914265720638352,1.3533097473594768,0,1,-2,1,1,0,1
2014-10-21,86.04802245868156,89.33156244373951,85.46857595968591,87.78636932373047,23243800,2.9911681334231055,-13.408722735801504,1.9574487182363987,2.395933348198742,2,1,-2,1,1,0,1
2014-10-22,89.09012142419476,90.29730464132476,87.89259773585906,88.4913558959961,20364500,0.8030706562949907,11.131846542414614,-0.7299330200416732,-0.8288278931996573,1,-1,2,-1,-1,0,1
2014-10-23,89.73717627160934,91.4562041167304,89.6406030809515,91.21476745605467,20641000,3.0776017979195602,-7.498601508993408,1.2303377138681793,1.5957639400820733,2,1,-2,1,1,0,1
2014-10-24,91.81352903315226,94.64316686790497,91.5334616347839,92.47989654541016,32132600,1.386978363963931,-2.5408352017387448,0.7053449392805167,0.6946246175973281,1,1,-2,1,1,0,1
2014-10-27,93.67742789153388,95.46405777461558,93.00140816325292,94.44036865234376,28302400,2.1198900303386115,-0.43451081422827276,-0.15015683952100956,0.04928855574404256,1,0,0,0,0,0,1
2014-10-28,96.42014063041394,97.22171210686862,95.23227639389336,96.265625,32127600,1.9327077749721866,-10.286786022607552,1.1939073060167393,1.746791862795849,1,1,-2,1,1,0,1
2014-10-29,96.4587726026489,96.57466485297486,93.50359021592776,94.94255065917967,28655400,-1.3743995749472604,5.281440285442196,-0.13853554985293615,-0.32995402274749175,-1,0,2,0,0,0,1
2014-10-30,95.106730763459,96.033846638234,93.96714945253645,95.3481674194336,15484600,0.4272233655381541,-4.158410406796554,0.6230124240393486,0.37171469287331504,0,1,-2,1,0,0,1
2014-10-31,96.67123033084242,96.78712257192136,94.77450707063844,95.2226104736328,18128300,-0.1316825998851967,-3.3746605326756884,1.1731393541549506,1.414763798788532,0,1,-2,1,1,0,1
2014-11-03,96.25596610502014,99.2787578120879,95.65720790213425,98.3130111694336,40883700,3.245448408134677,4.989307359857631,-0.011892184463624389,0.1764279890794418,2,0,2,0,0,0,0
2014-11-04,96.98510820870187,102.7158468805174,96.10144915859716,102.4367446899414,67814000,4.19449416863138,1.0862240737187001,-0.28298416808328897,-0.32917256460931466,2,0,1,0,0,0,0
2014-11-05,104.76419839100872,106.36733397653606,102.83270511761158,104.94768524169922,48344000,2.451210802684134,-4.835461722146195,0.5700497411807115,-0.06315201418490846,1,1,-2,1,0,0,0
2014-11-06,105.55611042561114,107.87389646115344,103.5376961218508,107.74835205078124,33609000,2.668631330583371,-3.5285814912343394,0.37755130048497954,0.3841392504782881,2,0,-2,0,0,0,0
2014-11-07,109.0617685487952,110.83873883296565,107.9221872167947,110.63593292236328,51457000,2.6799304273546154,-4.023410297478014,0.034958621780534216,-0.12806872551406334,2,0,-2,0,0,0,0
2014-11-10,113.2531019804965,115.35842988999622,111.25400678779287,115.06871032714844,75971000,4.0066344520236274,-3.429876624926209,0.3120184693883088,0.41209302296165706,2,0,-2,0,0,0,0
2014-11-11,113.23378766996866,113.5235145941741,109.7957321675771,110.61661529541016,70983600,-3.869075284741319,1.9731649447087163,0.06966942090356198,0.19218984313051912,-2,0,1,0,0,0,0
2014-11-12,111.10914922311837,114.9914473112806,110.11442403643082,114.1512451171875,53908000,3.195387792636617,0.7739967560310701,-0.07011166816754955,0.31283961458914433,2,0,1,0,0,0,0
2014-11-13,115.21357808799398,115.88959779457078,110.62628150862557,110.90634155273438,62163000,-2.8426352784167275,5.913974477859663,0.052984474656558866,0.10694866578928597,-2,0,2,0,0,0,0
2014-11-14,111.1188094345995,111.43750760386862,109.4673835139263,111.15744018554688,29849000,0.22640601907610858,-3.4807798663099354,0.024027020881067784,0.17947971852054767,0,0,-2,0,0,0,0
2014-11-17,111.48579635972024,111.66928321413268,109.25491657341152,110.33655548095705,22573000,-0.7384883128107145,5.108935612798793,0.07353590216279127,-0.3741044955650419,-1,0,2,0,0,0,0
2014-11-18,110.41381366275468,110.46209657328038,106.6280886522378,107.0143814086914,41098000,-3.0109459714274034,-0.9292360011992185,0.5133983312177293,0.6730880198297928,-2,1,-1,1,1,0,0
2014-11-19,106.06795068322135,106.88883381834664,103.54735147165266,105.09254455566406,46841000,-1.7958678335837752,0.7215034916797425,-0.15011590075549863,-0.5684278970452206,-1,0,1,0,-1,0,0
2014-11-20,104.1171358953668,108.5885472532792,103.58597969994156,106.05828857421876,36489000,0.9189462702972051,-2.722063849588341,0.19670962134916703,0.5594905686740814,1,0,-2,0,1,0,0
2014-11-21,109.33217364410098,109.61224104724374,106.65222530787976,106.93712615966795,27432000,0.8286364010429814,-5.007366045626648,0.5236877359639402,0.23607835562438062,1,1,-2,1,0,0,0
2014-11-24,108.1636210478604,110.02751231242546,107.72903801766071,110.01785278320312,20646000,2.8808765806323633,-2.1705406298538565,0.28640233144536786,0.8894586633068746,2,0,-1,0,1,0,-1
2014-11-25,111.00292361237057,111.2250412183642,108.48232423682428,109.5832748413086,23485000,-0.39500674745115427,-2.9318533194478746,-0.11500296768531815,0.07066121791761137,0,0,-2,0,0,0,-1
2014-11-26,109.4480729196348,109.84402522670554,108.48232624045632,108.81067657470705,11794700,-0.7050330150475737,-1.4693902463329134,0.28059818899186517,0.610935201360796,-1,0,-1,0,1,0,-1
2014-11-28,109.26456836821328,109.3514893925185,107.30410397361858,107.81594848632812,8077800,-0.9141824310741842,10.439107379780154,-0.2542427180532325,0.0900307218236307,-1,0,2,0,0,0,-1
2014-12-01,106.25143949681468,106.28041808447938,100.33721405540707,102.35948181152344,38464200,-5.060908660926556,6.226556102449665,-0.6829362527492333,-1.3415014666892433,-2,-1,2,-1,-1,0,0
2014-12-02,103.67290285895888,106.23213299099066,102.95825239098605,106.12590026855467,18785000,3.679598988168409,-9.251408757478197,0.6384461097458161,0.6020277819408726,2,1,-2,1,1,0,0
2014-12-03,106.61842734415568,107.85458182753294,105.0712964396508,106.85020446777344,16221100,0.6824952225478409,-2.7237382963384404,0.3764742741791727,0.3923654649806929,1,0,-2,0,0,0,0
2014-12-04,106.32870190667695,106.71500203017234,105.17946843355728,105.43055725097656,10779300,-1.328633130716228,-0.9599990844726514,-0.11618962070774064,-0.10535772999192838,-1,0,-1,0,0,0,0
2014-12-05,105.84582974820292,106.57013972462958,104.06885947603934,104.20406341552734,12148100,-1.163319124387785,-3.957994883591265,0.16652165347093018,0.23734074352159684,-1,0,-2,0,0,0,0
2014-12-08,102.34017413385897,103.72119214421424,100.6404579592535,101.47100067138672,19217300,-2.6227986266161074,19.512191991879078,-0.7256565211683386,-0.8381476205280847,-2,-1,2,-1,-1,0,0
2014-12-09,98.76690770091668,104.252349025809,97.73355906918113,103.79845428466795,24866800,2.293713078496862,8.022521747096434,-0.023782354133117245,0.5438084699935564,1,0,2,0,1,0,0
2014-12-10,103.42180803182212,103.70187545212616,99.9644405302777,100.32176208496094,18466700,-3.349464328411067,20.71661385112815,-1.635096881921505,-1.7297956684116822,-2,-1,2,-1,-1,0,0
2014-12-11,100.86258324593244,103.18036932899666,100.71771977372536,101.37442779541016,15684300,1.0492894946938058,8.36480938814872,0.45356892119050585,0.5153721935023947,1,0,2,0,1,0,0
2014-12-12,101.11366864316317,103.76947186067574,100.61051842422034,101.50962829589844,14537600,0.13336746103380648,4.980079700196716,-1.6213587335965784,-1.158840327921351,0,-1,2,-1,-1,0,0
2014-12-15,102.745784529927,104.07851224178908,100.1479237082773,101.1136703491211,16521800,-0.39006934950360783,-3.13092907875151,-0.6342586611898127,-1.0409132798206322,0,-1,-2,-1,-1,0,-1
2014-12-16,100.19621347013396,103.99159804377332,100.14792319111628,102.1470184326172,21700600,1.0219667429025137,15.42605096357066,-0.8489022887163578,-1.244909540164274,1,-1,2,-1,-1,0,-1
2014-12-17,103.44111814671736,105.44987282812404,102.63954670633944,105.2856903076172,17311100,3.072700430380615,-17.52227074348888,2.0352415732846962,2.1214508636287377,2,1,-2,1,1,0,-1
2014-12-18,106.7922572031174,107.39101535941153,104.55172546122658,105.5078125,22788100,0.2109709227662515,-13.528811707117205,2.401520473971619,2.2412337341128685,0,1,-2,1,1,0,-1
2014-12-19,106.16452454699184,106.85986328125,104.33926405359507,106.85986328125,14857800,1.2814698259903778,-1.903627037422273,0.4570048934014581,0.35759373300401354,1,0,-1,0,0,0,-1
2014-12-22,106.84054744600924,107.17856466229274,104.81248098861852,105.04425811767578,13041200,-1.6990524859606393,-7.5197076308636035,0.3810463907886641,0.33659518143249745,-1,0,-2,0,0,0,0
2014-12-23,104.59036036687264,104.75453552154184,100.32175476903994,101.90557861328124,19096300,-2.9879591332621303,-2.950818421410728,0.17463617463617798,-0.3346286304367396,-2,0,-2,0,0,0,0
2014-12-24,102.0601058345632,103.53769702391658,101.9828443345554,102.32085418701172,5870400,0.40751014751252423,-2.905407429960516,-0.013929653841071588,0.16893144991894093,0,0,-2,0,0,0,0
2014-12-26,102.3594849370156,103.27694867146806,101.88627114357678,102.32085418701172,6529100,0.0,0.9046632948936928,0.3309574570383944,0.6994837494464834,0,0,1,0,1,0,0
2014-12-29,102.32085203950004,103.97228525324174,102.02147294333102,102.3498306274414,8068600,0.028319193247483554,3.862071859425509,0.08617745425745227,0.0010462749108652858,0,0,2,0,0,0,-1
2014-12-30,102.02147571390812,103.05482433668456,101.52894285839793,102.1277084350586,10205700,-0.2170225304928386,5.710488929050994,-0.48886047197381766,-0.6130802092365384,0,0,2,0,-1,0,-1
2014-12-31,102.81337779392884,102.82303732257672,100.13826306726492,100.37969970703124,10221600,-1.7115910606560703,20.603019289740267,-1.0310858415930158,-0.8663664478546385,-1,-1,2,-1,-1,0,-1
2015-01-02,100.66942305690132,101.1329846647117,99.00833773366828,100.05134582519533,12303400,-0.3271118391410255,-7.343748913457038,-0.03399636723855348,-0.19509393850979384,0,0,-2,0,0,0,-1
2015-01-05,99.240129091721,99.49121791894126,96.4780930477998,97.54041290283205,18337000,-2.509644324775262,11.973013216134865,-1.8278105145113743,-1.5706202164824656,-2,-1,2,-1,-1,0,0
2015-01-06,97.78184205203834,100.29278170766352,96.68089153097144,99.78093719482422,15720400,2.2970215373438574,6.024100192487092,-0.8893471722946522,-1.2859471669250278,1,-1,2,-1,-1,0,0
2015-01-07,101.00743438438782,101.1522978494732,98.53512542102882,98.63169860839844,11052200,-1.1517616678442977,-8.570081919356188,1.162984267174294,1.2569833590121648,-1,1,-2,1,1,0,0
2015-01-08,99.42361069741324,101.73174450923769,99.16286235427984,101.43236541748048,12942100,2.8395200007673482,-11.910923359252923,1.7888280629516196,1.843248587828672,2,1,-2,1,1,0,0
2015-01-09,101.6351695564828,101.693119362443,99.3656665326995,99.4912109375,10222200,-1.9137426914880518,3.1745973010736783,-0.8403811034715436,-0.6781847346680303,-1,-1,2,-1,-1,0,0
2015-01-12,99.6650494941626,99.81957249198182,97.74321575917384,98.13917541503906,7997200,-1.3589497099500414,11.680918709558497,-0.8093685160912578,-0.8367193675273943,-1,-1,2,-1,-1,0,-1
