Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-01-02,236.4900054931641,242.82000732421875,235.25999450683597,242.3999938964844,2690400,3.496856217857025,-11.503618736210486,0.8303361477520088,1.4994048369718627,2,1,-2,1,1,0,0
2018-01-03,244.8600006103516,246.25999450683597,240.08999633789065,245.5500030517578,1906200,1.2995087601440192,-6.345965303826762,0.6398818768781567,0.8367449746625955,1,1,-2,1,1,0,0
2018-01-04,249.0,249.1999969482422,244.27999877929688,245.72999572753903,1575700,0.07330184220901703,0.7650344417148736,0.40286360805039667,0.17522212021183758,0,0,1,0,0,0,0
2018-01-05,246.83999633789065,248.0,242.6000061035156,245.13999938964844,2604000,-0.24009943765463948,0.0,0.7033767443369587,0.8286330434974509,0,1,0,1,1,0,0
2018-01-08,247.13999938964844,253.8600006103516,246.75,250.82000732421875,2416900,2.317046564702796,3.253798069916325,0.16623439316436617,0.2918784113631334,1,0,2,0,0,0,0
2018-01-09,253.5399932861328,254.9900054931641,248.0500030517578,254.72999572753903,2619600,1.5588821821004517,5.882347048478298,0.13029315960912946,0.08648321927422487,1,0,2,0,0,0,0
2018-01-10,251.4900054931641,253.7400054931641,247.8999938964844,248.9499969482422,2185600,-2.2690687693801004,-2.5793673695410413,-0.11122268282528491,-0.13973814485326308,-1,0,-2,0,0,0,0
2018-01-11,250.3999938964844,251.4900054931641,246.88999938964844,250.22000122070312,1732700,0.5101443213614498,0.6110022554106864,0.7033646478779465,0.81371905730796,1,1,1,1,1,0,0
2018-01-12,252.4900054931641,256.9800109863281,250.8699951171875,253.0399932861328,3040800,1.1270050562194545,2.83400536161873,0.6749602987881076,0.683330258349435,1,1,2,1,1,0,0
2018-01-16,259.69000244140625,265.7699890136719,256.7799987792969,257.7799987792969,4102700,1.8732238456093286,14.763779749288775,-0.3524487622672101,-0.5146647581198649,1,0,2,0,-1,0,-1
