Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-03,19.13794492864576,19.47300693536023,19.13301837544984,19.33011245727539,2485500,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-04,19.285760537467624,19.35474354069336,19.08866651105779,19.339962005615234,1720700,0.050954428545679775,-3.265128525989802,0.018792399994027598,-0.013586309056090595,0,0,-2,0,0,0,1
2012-01-05,19.098520851890584,19.147795771419496,18.921136780524467,19.11823081970215,2005100,-1.1464923553040518,-3.3303321061464386,0.2943716919978634,0.8118231331059267,-1,0,-2,0,1,0,1
2012-01-06,19.024612005202023,19.024612005202023,18.80287955812528,18.87679100036621,1361700,-1.2628774158701117,-3.957171320224484,-0.2536961462655807,0.16329931553829002,-1,0,-2,0,0,0,1
2012-01-09,18.857082210344814,18.866937195235927,18.655059719192465,18.85215377807617,1996600,-0.1305159456899463,2.13281896246702,0.22615979258335805,0.08750543770750241,0,0,1,0,0,0,1
2012-01-10,19.147798598332045,19.344892666607983,19.083742133310388,19.216781616210938,2529500,1.9341441960801786,-1.8035081455646473,0.8885769748331329,0.9691522266785491,1,1,-1,1,1,0,1
2012-01-11,18.99011434283747,19.03938736859144,18.847219936647328,18.995040893554688,3857200,-1.1538910473395503,1.7399646868560437,0.030959725997448118,0.305643284574475,-1,0,1,0,0,0,1
2012-01-12,19.09359614107749,19.103451125933653,18.77331571201385,19.04924964904785,4507600,0.28538372618907015,-2.755344155475825,0.2336608362904613,0.5142447636836467,0,0,-2,0,1,0,1
2012-01-13,18.95070462751209,19.04925261175457,18.694480620340208,19.01968765258789,2285000,-0.1551871963704321,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,0,0,1,0,-1,0,1
2012-01-17,19.45330006576149,19.571558037434112,19.354752069308752,19.43851852416992,2035500,2.2020912184908648,6.169301410525829,0.3552954600872571,0.642282415483364,1,0,2,0,1,0,0
2012-01-18,19.51241663004042,19.778495499999437,19.472998582442187,19.76864051818848,1852200,1.6982878278922753,-5.900906884102108,1.1107929092462498,1.5259773034636215,1,1,-2,1,1,0,0
2012-01-19,20.236748153922942,20.4289156603058,20.16283670701592,20.38456916809082,3123100,3.115685417698022,-4.882712207835082,0.4938656879440728,0.6722767889095982,2,0,-2,0,1,0,0
2012-01-20,20.71470577205979,20.90687328946977,20.60630281161466,20.892091751098636,2340800,2.489739070876573,-8.002013515009166,0.06694597815233294,-0.05846248139392829,1,0,-2,0,0,0,0
2012-01-23,20.911796656970445,21.103966024754342,20.744265688913764,20.84774208068848,1433400,-0.2122797034328716,2.1334757932112813,0.047134296924533636,-0.090789440600203,0,0,1,0,0,0,0
2012-01-24,20.62601606755678,20.80832862854004,20.55210460463694,20.80832862854004,1118500,-0.18905381693564705,1.285483503681939,-0.102581731454221,0.08871479731602516,0,0,1,0,0,0,0
2012-01-25,20.51268362972511,20.81325411286316,20.36486260447668,20.70485115051269,3529800,-0.49728875333803213,-3.1729264215294983,0.8679141952454561,1.1365001304967537,0,1,-2,1,1,0,0
2012-01-26,20.91672514859839,20.93643511657813,20.749194180062545,20.7836856842041,2743400,0.38075392630609883,1.419990368462054,-0.5753890884025226,-0.46233483988544766,0,-1,1,-1,0,0,0
2012-01-27,20.82803603758426,21.039913533571568,20.823107604851707,20.9857120513916,1436200,0.9720430257518897,-0.21539584725926986,-0.15928775670267514,0.4017431205994404,1,0,0,0,0,0,0
2012-01-30,20.3500752833042,20.433841705322266,20.27616572467809,20.433841705322266,2192100,-2.629743249682781,4.695083106563347,-0.2522123175721869,-0.1636792296232481,-2,0,2,0,0,0,0
2012-01-31,20.68513850612089,20.69992004284164,20.46833448908365,20.611228942871094,1420800,0.8681051762411629,0.206190290277819,-0.04569466961219515,0.06757422007472869,1,0,0,0,0,0,0
2012-02-01,21.034985725719963,21.241936674768912,20.990639228041363,21.074405670166016,2581400,2.247205775932759,-4.578195846434497,0.8899605562620927,1.223592335214585,1,1,-2,1,1,0,0
2012-02-02,21.19265972470741,21.276426158849745,21.09411363227582,21.27149772644043,1330600,0.9352199979401066,-3.0727747615505674,0.10951470667548424,0.400590956304514,1,0,-2,0,0,0,0
2012-02-03,21.66076052678609,21.87756643472498,21.58685095969924,21.84800148010254,2428100,2.710217028796791,-4.894322487046898,1.4605356896842503,1.6078715649261888,2,1,-2,1,1,0,0
