Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2012-01-03,50.79332845927826,51.04323304552243,50.65052535218236,50.78440475463867,39514100,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-04,50.70406633911462,51.0699994311702,50.48093632189307,50.99859619140625,29403400,0.42176616581888204,-3.265128525989802,0.018792399994027598,-0.013586309056090595,0,0,-2,0,0,0,0
2012-01-05,50.891499974584384,51.46271233271394,50.69514444971702,51.418087005615234,41260600,0.8225536495839236,-3.3303321061464386,0.2943716919978634,0.8118231331059267,1,0,-2,0,1,0,0
2012-01-06,51.427007136997865,51.71261329622422,51.23065503046349,51.596588134765625,46325200,0.3471563014993073,-3.957171320224484,-0.2536961462655807,0.16329931553829002,0,0,-2,0,0,0,0
2012-01-09,51.730474241128185,51.74832505516368,51.257439585618826,51.42701721191406,39195500,-0.3286475501222297,2.13281896246702,0.22615979258335805,0.08750543770750241,0,0,1,0,0,0,0
2012-01-10,51.97145368973201,52.12318390250034,51.444866606644105,51.801876068115234,35949900,0.7289142488208,-1.8035081455646473,0.8885769748331329,0.9691522266785491,1,1,-1,1,1,0,0
2012-01-11,51.79294892294339,52.025006094146455,51.59659678349605,51.90897750854492,37144100,0.20675204946025705,1.7399646868560437,0.030959725997448118,0.305643284574475,0,0,1,0,0,0,0
2012-01-12,52.02499191507724,52.1856457883728,51.64120804050379,52.11424255371094,26188300,0.39543264964567726,-2.755344155475825,0.2336608362904613,0.5142447636836467,0,0,-2,0,1,0,0
2012-01-13,51.83757200912294,51.94467347393847,51.48056258681228,51.92682266235352,35980400,-0.3596327648132891,2.1494897353052878,-0.49479229484272746,-0.5149201581201912,0,0,1,0,-1,0,0
2012-01-17,52.38200956942913,52.62299043317532,52.203508252308445,52.39986038208008,41790800,0.9109698908450703,6.169301410525829,0.3552954600872571,0.642282415483364,1,0,2,0,1,0,0
2012-01-18,52.498029535612936,53.09601974487305,52.37307727225245,53.09601974487305,48692700,1.3285519421556424,-5.900906884102108,1.1107929092462498,1.5259773034636215,1,1,-2,1,1,0,0
